Time,Temperature  (*C),Temperature  (*F),A-D  (1-255)
10/4/95 9:00,22.2,72,210
10/4/95 9:00,22.2,72,210
10/4/95 9:01,22.2,72,210
10/4/95 9:02,22.2,72,210
10/4/95 9:02,22.2,72,210
10/4/95 9:03,22.2,72,210
10/4/95 9:04,22.2,72,210
10/4/95 9:04,22.2,72,210
10/4/95 9:05,22.2,72,210
10/4/95 9:06,22.2,72,210
10/4/95 9:06,22.2,72,210
10/4/95 9:07,22.2,72,210
10/4/95 9:08,22.2,72,210
10/4/95 9:08,22.2,72,210
10/4/95 9:09,22.2,72,210
10/4/95 9:10,22.2,72,210
10/4/95 9:10,22.2,72,210
10/4/95 9:11,21.7,71.2,211
10/4/95 9:12,21.7,71.2,211
10/4/95 9:12,21.7,71.2,211
10/4/95 9:13,21.7,71.2,211
10/4/95 9:14,21.7,71.2,211
10/4/95 9:14,21.7,71.2,211
10/4/95 9:15,21.7,71.2,211
10/4/95 9:16,21.7,71.2,211
10/4/95 9:16,21.7,71.2,211
10/4/95 9:17,21.7,71.2,211
10/4/95 9:18,21.7,71.2,211
10/4/95 9:18,21.7,71.2,211
10/4/95 9:19,21.7,71.2,211
10/4/95 9:20,21.7,71.2,211
10/4/95 9:20,22.2,72,210
10/4/95 9:21,22.2,72,210
10/4/95 9:22,22.2,72,210
10/4/95 9:22,22.2,72,210
10/4/95 9:23,22.6,72.7,209
10/4/95 9:24,22.6,72.7,209
10/4/95 9:24,22.6,72.7,209
10/4/95 9:25,22.6,72.7,209
10/4/95 9:26,22.6,72.7,209
10/4/95 9:26,22.9,73.4,208
10/4/95 9:27,22.9,73.4,208
10/4/95 9:28,22.9,73.4,208
10/4/95 9:28,22.9,73.4,208
10/4/95 9:29,22.9,73.4,208
10/4/95 9:30,23.4,74.2,207
10/4/95 9:30,23.4,74.2,207
10/4/95 9:31,23.4,74.2,207
10/4/95 9:32,23.4,74.2,207
10/4/95 9:32,23.4,74.2,207
10/4/95 9:33,23.4,74.2,207
10/4/95 9:34,23.4,74.2,207
10/4/95 9:34,23.4,74.2,207
10/4/95 9:35,23.4,74.2,207
10/4/95 9:36,23.4,74.2,207
10/4/95 9:36,23.4,74.2,207
10/4/95 9:37,23.4,74.2,207
10/4/95 9:38,23.4,74.2,207
10/4/95 9:38,23.4,74.2,207
10/4/95 9:39,23.4,74.2,207
10/4/95 9:40,23.4,74.2,207
10/4/95 9:40,23.4,74.2,207
10/4/95 9:41,23.4,74.2,207
10/4/95 9:42,23.4,74.2,207
10/4/95 9:42,23.4,74.2,207
10/4/95 9:43,23.4,74.2,207
10/4/95 9:44,23.4,74.2,207
10/4/95 9:44,23.4,74.2,207
10/4/95 9:45,23.4,74.2,207
10/4/95 9:46,23.4,74.2,207
10/4/95 9:46,23.4,74.2,207
10/4/95 9:47,23.4,74.2,207
10/4/95 9:48,23.4,74.2,207
10/4/95 9:48,23.4,74.2,207
10/4/95 9:49,23.4,74.2,207
10/4/95 9:50,23.4,74.2,207
10/4/95 9:50,23.4,74.2,207
10/4/95 9:51,23.4,74.2,207
10/4/95 9:52,23.4,74.2,207
10/4/95 9:52,23.4,74.2,207
10/4/95 9:53,23.4,74.2,207
