time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,4.01,5.2,2.1,0.706,-1.052,8711.8,9338.1,9962.6,4000,0
0.02,5.99,5.32,2.21,0.751,-0.7,8743.7,9311,10315.8,4035.4,0
0.04,9.07,5.5,2.32,0.756,0.366,9354.6,9405.2,10582.8,3986.7,0
0.06,12.14,5.74,2.44,-0.52,-0.7,9428.4,9816.4,10714,3986.7,0
0.08,13.02,6,2.56,-0.181,-0.108,9637.1,10229.8,10920.3,3991.2,0
0.1,12.36,6.25,2.68,-0.674,-0.07,9997.6,10485.7,11422.2,3988.9,0
0.12,15.44,6.56,2.81,0.081,1.07,10488.7,10930.5,11892.7,3982.3,0
0.14,23.78,7.04,2.95,0.063,-0.761,10889.2,11564.2,12405.1,3986.7,0
0.16,34.77,7.73,3.11,0.231,-0.31,11766.1,11849.5,13140.3,3984.5,0
0.18,44.87,8.63,3.28,0.1,0.427,12324.6,12493.6,13852.4,3980.1,0
0.2,50.58,9.64,3.47,0.154,-0.366,12889.5,12909,14381.2,3973.5,0
0.22,51.9,10.68,3.69,0.733,-0.207,12994.9,12852.4,14514.6,3977.9,0
0.24,48.82,11.65,3.92,0.76,-0.761,13045.6,12873.4,14535.9,3991.2,0
0.26,42.23,12.5,4.17,0.063,0.122,12893.9,13089.5,14531.9,3997.8,0
0.28,32.79,13.16,4.43,-1.014,-1.549,13014.1,12930.1,14505,4002.2,0
0.3,21.37,13.58,4.7,0.751,-0.052,13191.2,12768.6,14621.6,4002.2,0
0.32,10.82,13.8,4.98,-1.072,0.249,13260.8,12573.5,14603.1,4008.8,0
0.34,3.79,13.87,5.26,-0.045,-0.427,13435.7,12439.2,14528,4004.4,0
0.36,-1.04,13.85,5.53,-0.186,-0.254,13433.6,12481.1,14511.2,4000,0
0.38,-4.33,13.77,5.81,0.633,0.099,13412.5,12386.7,14446.7,4002.2,0
0.4,-6.31,13.64,6.08,-0.05,0.362,13433.6,12348.9,14452.9,4000,0
0.42,-7.63,13.49,6.35,-0.493,-1.169,13433.6,12393,14423.7,4000,0
