time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,41.19,9.12,14.18,0.139,-0.091,1703.4,1701.4,2819,3980.8,0
0.02,52.77,10.18,14.39,0.155,-0.128,1862.2,1867,2958.6,4055.3,0
0.04,50.02,11.18,14.61,-0.227,0.152,2464.3,2499.4,3502.6,3976,0
0.06,30.82,11.8,14.85,0.055,-0.255,2902.1,3029.2,4033.7,3973.6,0
0.08,6.75,11.93,15.08,-0.261,0.049,3541.1,3820.3,4710.6,3971.2,0
0.1,-12.75,11.68,15.32,0.176,-0.074,4273.2,4502.1,5277.7,3966.3,0
0.12,-25.25,11.17,15.54,0.08,0.457,4804.2,5183.9,5786.5,3961.5,0
0.14,-32.56,10.52,15.75,0,0.012,5350.1,5735.8,6165.2,3961.5,0
0.16,-35,9.82,15.95,-0.055,-0.263,6053.5,6475.8,6936.2,3956.7,0
0.18,-38.66,9.05,16.13,-0.5,-0.16,6749.9,7208.8,7525.6,3954.3,0
0.2,-39.88,8.25,16.29,0.055,-0.066,7188.8,7653.1,7971.5,3961.5,0
0.22,-39.27,7.46,16.44,0.038,-0.095,7511.8,8008.5,8269.6,3959.1,0
0.24,-35.61,6.75,16.58,-0.235,0.058,7877.3,8435.7,8610.3,3951.9,0
0.26,-27.69,6.2,16.7,-0.092,-0.44,8235.9,8710.8,8944.4,3947.1,0
0.28,-16.11,5.88,16.82,1.008,-1.737,8551.9,8856.1,9177.4,3947.1,0
0.3,-4.83,5.78,16.94,-0.025,-0.321,8709.4,9044,9307.5,3942.3,0
0.32,4.62,5.87,17.05,1.046,-0.255,8910.6,9160.2,9394.9,3942.3,0
0.34,8.88,6.05,17.17,0.101,-0.51,8895.7,9406.3,9612.4,3937.5,0
0.36,8.58,6.22,17.3,-0.454,-0.572,9061.1,9457.6,9751.3,3939.9,0
0.38,4.92,6.32,17.42,-0.853,0.617,9183,9667.7,9845.4,3937.5,0
0.4,-1.48,6.29,17.55,0.332,-0.971,9276.1,9965.1,9939.6,3935.1,0
0.42,-9.71,6.1,17.67,1.634,-0.412,9512.9,10030,10150.3,3932.7,0
0.44,-19.15,5.71,17.79,0.05,0.21,9606,10385.4,10215.4,3930.3,0
0.46,-26.47,5.18,17.89,0.256,0.239,9835.8,10414.5,10448.4,3930.3,0
0.48,-31.95,4.54,17.98,0.588,-0.461,9986.4,10537.5,10659.1,3927.9,0
0.5,-32.87,3.89,18.06,-0.765,-0.815,10130,10682.8,10775.7,3927.9,0
0.52,-29.21,3.3,18.12,-0.672,-0.342,10287.5,10667.4,10789.2,3923.1,0
0.54,-24.03,2.82,18.18,-0.21,-0.498,10237,10761.4,10796,3920.7,0
0.56,-18.54,2.45,18.23,0.5,-1.243,10215.2,10855.4,10773.6,3918.3,0
0.58,-13.67,2.18,18.27,-0.492,-0.185,10250.9,10687.9,10809.5,3915.9,0
0.6,-10.01,1.98,18.31,-0.273,0.881,10171.6,10607.6,10699.8,3913.5,0
0.62,-5.74,1.86,18.35,0.038,0.193,10185.5,10592.3,10509.4,3908.7,0
0.64,-1.48,1.83,18.39,0.134,-1.288,9969.5,10460.7,10493.8,3903.8,0
0.66,0.96,1.85,18.42,-0.08,0.119,9789.2,10365,10426.7,3896.6,0
0.68,1.57,1.88,18.46,0.155,1.942,10019,10132.7,10222.8,3896.6,0
0.7,-0.26,1.88,18.5,0.328,0.502,9860.5,10059.2,10061.5,3891.8,0
