time(sec)	acc(in/s/s)	vel(in/s)	pos(in)	lateral_acc_1	lateral_acc_2	Load_1(lbs)	Load_2(lbs)	Load_3(lbs)	Pressure(psi)	Temperature(F)
0	57.3256	0	0	0	0	1400.7	1371	1408.7	1297.4	0
0.2	50.135	0	0	0	0	1280.7	1279.3	1329.2	1288.6	0
0.4	-18.776	0	0	0	0	1587.4	1601.4	1601.2	1297.4	0
0.6	27.9637	0	0	0	0	1443.8	1356.6	1482.7	1297.4	0
0.8	13.9819	0	0	0	0	1536.5	1550.3	1593.2	1300.3	0
1	86.6876	0	0	0	0	1745.4	1716.6	1838.1	1297.4	0
1.2	7.39041	0	0	0	0	1479	1478.3	1533.9	1300.3	0
1.4	-5.1933	0	0	0	0	1335.4	1319.9	1356.3	1300.3	0
1.6	-52.332	0	0	0	0	1214	1155	1216.3	1297.4	0
1.8	-61.32	0	0	0	0	1357.6	1356.6	1379.1	1297.4	0
2	-58.524	0	0	0	0	1407.2	1334.3	1459.9	1300.3	0
2.2	-50.934	0	0	0	0	1214	1198.2	1201.5	1297.4	0
2.4	-49.336	0	0	0	0	1050.9	976.9	1047.9	1288.6	0
2.6	-115.25	0	0	0	0	985.6	925.9	965.8	1291.5	0
2.8	-121.24	0	0	0	0	907.3	789.7	870.2	1288.6	0
3	-131.83	0	0	0	0	490.8	386.5	411.3	1288.6	0
3.2	-128.43	0	0	0	0	412.5	322.3	330.5	1285.6	0
3.4	-77.3	0	0	0	0	514.4	395.6	376.1	1279.8	0
3.6	-76.701	0	0	0	0	571.8	496.4	494.6	1279.8	0
3.8	-7.1907	0	0	0	0	571.8	482	479.7	1279.8	0
4	11.7847	0	0	0	0	584.9	538.3	522.9	1285.6	0
4.2	62.1194	0	0	0	0	1036.5	1048.9	1062.7	1288.6	0
4.4	85.6889	0	0	0	0	1108.3	1092.1	1107.1	1288.6	0
4.6	88.685	0	0	0	0	1193.2	1206	1224.3	1294.5	0
4.8	102.667	0	0	0	0	990.8	1017.5	1015.8	1300.3	0
5	40.5474	0	0	0	0	1005.1	1003.1	1015.8	1300.3	0
5.2	47.1389	0	0	0	0	1091.3	1046.3	1089.8	1300.3	0
5.4	36.7523	0	0	0	0	1033.9	1017.5	1015.8	1300.3	0
5.6	57.7251	0	0	0	0	1321.1	1319.9	1356.3	1300.3	0
5.8	48.1376	0	0	0	0	1199.7	1140.6	1186.7	1297.4	0
6	1.79767	0	0	0	0	1694.4	1737.5	1741.2	1300.3	0
6.2	108.459	0	0	0	0	1718	1689.1	1780.1	1291.5	0
6.4	56.7264	0	0	0	0	1724.5	1782	1786.9	1294.5	0
6.6	99.0715	0	0	0	0	1710.1	1681.2	1757.3	1294.5	0
6.8	19.5746	0	0	0	0	1092.6	1090.8	1091	1294.5	0
7	3.59534	0	0	0	0	1608.3	1636.7	1652.4	1300.3	0
7.2	20.5733	0	0	0	0	1437.3	1364.4	1461.2	1294.5	0
7.4	25.7666	0	0	0	0	1758.4	1816.1	1822	1303.3	0
7.6	82.493	0	0	0	0	1600.4	1556.9	1644.4	1303.3	0
7.8	-10.786	0	0	0	0	1515.6	1529.4	1556.8	1297.4	0
8	-7.7899	0	0	0	0	1321.1	1305.5	1341.5	1300.3	0
8.2	-70.708	0	0	0	0	1156.6	1111.8	1157	1297.4	0
8.4	-45.141	0	0	0	0	1343.3	1313.4	1349.5	1297.4	0
8.6	-58.724	0	0	0	0	1351.1	1278	1357.5	1294.5	0
8.8	-48.138	0	0	0	0	1279.3	1234.8	1283.5	1294.5	0
9	-67.512	0	0	0	0	906	831.6	898.6	1294.5	0
9.2	-120.44	0	0	0	0	849.8	746.5	796.2	1288.6	0
9.4	-104.26	0	0	0	0	872.1	739.9	789.4	1285.6	0
9.6	-146.01	0	0	0	0	332.9	213.7	248.4	1288.6	0
9.8	-103.47	0	0	0	0	420.4	258.2	279.3	1282.7	0
