time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,26.9,83.99,104.18,-0.074,-0.028,2402.5,2402.1,2423.1,1683.5,0
0.02,13.73,84.26,105.87,0.058,0.158,2382.3,2380.7,2489.3,1680.6,0
0.04,1.72,84.3,107.55,0.132,-0.028,2263.4,2344.4,2393.8,1683.5,0
0.06,-7.94,84.14,109.23,-0.083,-0.51,2263.4,2315.6,2335.2,1683.5,0
0.08,-11.74,83.9,110.91,-0.112,-0.154,2179.9,2229.2,2217.9,1683.5,0
0.1,-10.57,83.69,112.59,0.07,-0.02,2068.5,2085.1,2100.6,1683.5,0
0.12,-5.01,83.59,114.26,0.012,-0.036,1977.5,1991.1,2093.1,1686.3,0
0.14,0.55,83.6,115.93,-0.045,-0.245,2012.9,2056.3,2012.7,1683.5,0
0.16,3.48,83.67,117.6,0.132,0.182,2152,2142.7,2217.9,1683.5,0
0.18,1.72,83.71,119.28,0.079,-0.126,2228,2308.1,2356.9,1686.3,0
0.2,-4.42,83.62,120.95,0.186,0.107,2374.7,2344.4,2452.4,1683.5,0
0.22,-13.5,83.35,122.62,-0.095,-0.032,2270.9,2351.9,2342.7,1680.6,0
0.24,-24.03,82.87,124.27,-0.223,-0.024,2215.3,2236.7,2254.8,1680.6,0
0.26,-32.82,82.21,125.92,0.161,0.383,2103.9,2121.4,2166.8,1680.6,0
0.28,-39.55,81.42,127.55,0.041,-0.087,2055.8,2042.4,2086.4,1677.8,0
0.3,-43.94,80.54,129.16,0.058,-0.194,1936.9,1890.8,1961.6,1680.6,0
0.32,-46.28,79.62,130.75,-0.021,0.209,1881.3,1919.7,1961.6,1680.6,0
0.34,-48.04,78.66,132.32,-0.14,0.126,1888.8,1927.1,1969.1,1677.8,0
0.36,-50.96,77.64,133.88,-0.182,-0.383,1944.5,1984.8,1998.5,1677.8,0
0.38,-55.65,76.52,135.41,0.037,0,1924.2,1963.4,2006,1675,0
0.4,-61.21,75.3,136.91,-0.037,-0.257,1959.6,2028.5,2042.9,1672.2,0
0.42,-67.36,73.95,138.39,0.07,-0.138,1987.5,1970.9,2013.5,1672.2,0
0.44,-72.62,72.5,139.84,0.202,0.008,1891.2,1928.2,1911.4,1666.5,0
0.46,-76.43,70.97,141.26,-0.12,0.225,1863.4,1841.8,1882,1666.5,0
0.48,-79.36,69.38,142.65,0.033,0.047,1752.1,1784.1,1823.4,1666.5,0
0.5,-81.7,67.75,144,-0.273,-0.107,1731.8,1734,1801.6,1663.7,0
0.52,-83.16,66.09,145.32,0.012,-0.047,1731.8,1762.8,1831,1663.7,0
0.54,-84.04,64.41,146.61,-0.24,-0.091,1704,1820.4,1772.3,1663.7,0
0.56,-84.92,62.71,147.87,-0.029,-0.043,1767.2,1827.9,1809.2,1660.9,0
0.58,-86.09,60.99,149.09,-0.008,-0.285,1719.1,1748.9,1728.8,1658.1,0
0.6,-86.67,59.25,150.27,-0.054,-0.036,1691.3,1720.1,1728.8,1658.1,0
0.62,-86.09,57.53,151.42,-0.058,-0.059,1691.3,1720.1,1758.1,1658.1,0
0.64,-83.16,55.87,152.54,-0.231,0.067,1698.8,1698.8,1795,1655.2,0
0.66,-77.31,54.32,153.63,-0.066,-0.028,1671,1698.8,1736.3,1655.2,0
0.68,-69.11,52.94,154.68,0.004,0.02,1678.5,1677.4,1714.6,1652.4,0
0.7,-60.62,51.73,155.72,0.05,-0.213,1602.6,1656.1,1722.1,1649.6,0
0.72,-54.18,50.64,156.73,0.099,-0.138,1686.1,1713.7,1810.1,1649.6,0
0.74,-50.38,49.64,157.72,-0.021,-0.051,1812.6,1844,1883.8,1643.9,0
0.76,-50.67,48.62,158.7,0.074,-0.119,1880.9,1973.1,1956.6,1649.6,0
0.78,-53.01,47.56,159.65,-0.054,0.126,1966.8,2003,1986.8,1638.3,0
0.8,-56.23,46.44,160.58,-0.463,-0.043,1855.5,1858.9,1898.9,1638.3,0
0.82,-59.45,45.25,161.48,-0.347,-0.3,1772,1830.1,1898.9,1638.3,0
0.84,-61.79,44.01,162.36,0.074,-0.893,1736.6,1736.2,1803.4,1641.1,0
0.86,-63.55,42.74,163.22,0.07,0.245,1723.9,1722.3,1789.1,1635.5,0
0.88,-64.14,41.46,164.05,0.463,-0.304,1779.6,1722.3,1789.1,1635.5,0
0.9,-64.72,40.16,164.85,-0.004,0.166,1703.6,1729.8,1796.7,1632.6,0
0.92,-64.72,38.87,165.63,-0.521,0.423,1711.2,1708.5,1804.2,1629.8,0
0.94,-64.14,37.59,166.38,-0.095,0.292,1731.5,1787.4,1796.7,1632.6,0
0.96,-62.67,36.33,167.11,-0.124,0.289,1711.2,1766.1,1745.6,1629.8,0
0.98,-60.92,35.11,167.81,-0.541,0.229,1690.9,1687.1,1753.1,1627,0
1,-58.28,33.95,168.49,0.256,-0.186,1746.6,1715.9,1723.8,1627,0
1.02,-55.06,32.85,169.14,0.19,0.04,1782,1723.4,1760.7,1624.2,0
1.04,-53.31,31.78,169.78,0.376,-0.296,1746.6,1715.9,1782.5,1627,0
1.06,-52.13,30.74,170.39,0.017,0.087,1754.1,1723.4,1760.7,1624.2,0
1.08,-53.31,29.67,170.99,-0.455,-0.04,1774.4,1802.4,1811.8,1627,0
1.1,-55.65,28.56,171.56,-0.289,-0.071,1761.7,1788.5,1826.9,1621.3,0
1.12,-59.45,27.37,172.11,-0.041,0.028,1797.1,1853.7,1805.1,1618.5,0
1.14,-62.67,26.12,172.63,0.248,-0.04,1761.7,1788.5,1797.6,1621.3,0
1.16,-64.72,24.82,173.13,0.157,-0.372,1678.2,1702.1,1709.6,1621.3,0
1.18,-65.89,23.51,173.6,-0.182,0.3,1657.9,1709.6,1775.8,1618.5,0
1.2,-66.18,22.18,174.04,0.223,0.067,1594.7,1644.5,1651,1621.3,0
1.22,-65.31,20.88,174.46,0.149,-0.178,1657.9,1680.8,1717.1,1618.5,0
1.24,-65.01,19.58,174.85,-0.14,0.04,1630.1,1680.8,1687.8,1618.5,0
1.26,-65.89,18.26,175.21,0.025,0.047,1665.5,1688.2,1695.4,1615.7,0
1.28,-69.99,16.86,175.55,0.211,0.178,1673,1724.5,1732.2,1612.9,0
1.3,-77.02,15.32,175.86,-0.004,-0.19,1645.2,1724.5,1673.6,1612.9,0
1.32,-86.67,13.58,176.13,0.008,0.02,1665.5,1717.1,1754,1615.7,0
1.34,-97.21,11.64,176.36,-0.149,0.063,1673,1724.5,1732.2,1612.9,0
1.36,-106.58,9.51,176.55,0.017,0.012,1561.7,1609.3,1615,1612.9,0
1.38,-114.77,7.21,176.7,-0.103,-0.075,1450.4,1465.2,1527,1612.9,0
1.4,-120.04,4.81,176.79,-0.149,-0.154,1311.2,1321.1,1380.4,1612.9,0
1.42,-124.14,2.33,176.84,-0.029,0.059,1298.5,1364.9,1395.5,1607.2,0
1.44,-126.78,-0.21,176.83,0.021,-0.138,1361.7,1401.2,1403.1,1604.4,0
1.46,-127.36,-2.75,176.78,-0.174,0.095,1361.7,1372.3,1373.8,1604.4,0
1.48,-124.43,-5.24,176.67,0.103,-0.17,1389.6,1372.3,1403.1,1604.4,0
1.5,-117.99,-7.6,176.52,-0.149,-0.075,1361.7,1372.3,1373.8,1604.4,0
1.52,-107.16,-9.75,176.33,0,0.095,1369.3,1351,1381.3,1601.6,0
1.54,-94.58,-11.64,176.09,-0.058,-0.012,1278.2,1285.9,1344.4,1604.4,0
1.56,-83.75,-13.31,175.83,0.079,-0.067,1258,1293.4,1322.7,1601.6,0
