time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,8.74,60.74,84.71,0.259,-0.14,2204.1,2294.5,2369.8,1785.8,0
0.02,9.74,60.94,85.93,0.177,-0.74,2299.4,2390.1,2497.5,1776.9,0
0.04,8.14,61.1,87.16,-0.333,-0.115,2304.6,2395.4,2473.4,1785.8,0
0.06,6.14,61.23,88.38,-0.033,-0.395,2247.2,2337.7,2399.4,1785.8,0
0.08,4.54,61.32,89.61,-0.103,0.18,2168.8,2288,2392.6,1782.8,0
0.1,3.94,61.39,90.83,0.025,0.055,2081.3,2185.9,2228.5,1788.7,0
0.12,5.74,61.51,92.06,-0.012,-0.305,2040.9,2145.3,2186.6,1776.9,0
0.14,8.74,61.68,93.3,0.095,0.17,2054,2144,2200.2,1782.8,0
0.16,12.93,61.94,94.54,0.029,0,2148,2223.9,2326.6,1779.9,0
0.18,17.53,62.29,95.78,-0.226,-0.34,2235.5,2354.8,2416.7,1774,0
0.2,21.72,62.73,97.04,-0.173,0.31,2219.8,2295.9,2371,1779.9,0
0.22,25.32,63.23,98.3,-0.436,0.11,2321.6,2369.2,2490.7,1774,0
0.24,29.31,63.82,99.58,0.181,0.06,2285.1,2447.7,2467.9,1776.9,0
0.26,32.91,64.48,100.87,0.156,0.105,2300.8,2405.8,2439.5,1771.1,0
0.28,37.5,65.23,102.17,-0.029,-0.4,2249.8,2354.8,2416.7,1774,0
0.3,41.7,66.06,103.49,0.091,-0.325,2242,2346.9,2408.7,1776.9,0
0.32,46.29,66.99,104.83,-0.226,0.505,2300.8,2391.4,2454.3,1771.1,0
0.34,49.89,67.99,106.19,0.165,0.25,2358.2,2434.6,2498.7,1771.1,0
0.36,53.28,69.05,107.57,0.391,-0.475,2336,2470,2549.9,1774,0
0.38,55.08,70.15,108.98,-0.309,0.035,2430,2521,2602.4,1771.1,0
0.4,56.68,71.29,110.4,-0.012,-0.23,2364.7,2570.8,2579.6,1774,0
0.42,58.47,72.46,111.85,0.218,-0.115,2437.8,2500.1,2566,1768.1,0
0.44,59.47,73.65,113.33,0.243,-0.045,2350.3,2498.8,2549.9,1774,0
0.46,59.87,74.84,114.82,0.654,-0.175,2343.8,2492.2,2587.6,1771.1,0
0.48,59.27,76.03,116.34,0.432,0.215,2417,2507.9,2529.6,1765.2,0
0.5,56.68,77.16,117.89,-0.239,-0.495,2430,2521,2558,1771.1,0
0.52,52.68,78.22,119.45,0.103,0,2445.7,2594.3,2603.6,1765.2,0
0.54,47.09,79.16,121.03,0.078,-0.575,2422.2,2556.4,2549.9,1774,0
0.56,38.9,79.94,122.63,-0.407,-0.5,2351.7,2442.5,2506.8,1768.1,0
