time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,-58.23,79.07,139.48,0.066,-0.261,1874.4,1544.1,1952.2,980.1,0
0.02,-60.87,77.85,141.04,-0.029,-0.032,1833.8,1587.9,1820.7,974.5,0
0.04,-57.06,76.71,142.57,-0.099,0.012,1826.3,1638,1754.5,977.3,0
0.06,-48.28,75.74,144.09,0.07,-0.047,1790.9,1544.1,1805.6,980.1,0
0.08,-39.21,74.96,145.59,-0.128,-0.146,1846.5,1400,1864.2,980.1,0
0.1,-33.06,74.3,147.07,-0.017,-0.067,1902.2,1428.8,1864.2,980.1,0
0.12,-29.84,73.7,148.55,0.025,-0.134,1818.7,1255.9,1805.6,980.1,0
0.14,-29.26,73.11,150.01,-0.07,-0.02,1687.1,1321,1578.6,977.3,0
0.16,-32.18,72.47,151.46,0.079,-0.079,1512.6,1111.8,1541.7,980.1,0
0.18,-38.33,71.7,152.89,-0.079,-0.067,1373.4,1054.2,1365.8,980.1,0
0.2,-47.4,70.76,154.31,-0.012,0.04,1269.6,1234.6,1168.2,977.3,0
0.22,-56.19,69.63,155.7,-0.083,-0.004,1171,989.1,1094.4,983,0
0.24,-64.67,68.34,157.07,-0.174,-0.146,1178.6,1054.2,1102,980.1,0
0.26,-70.53,66.93,158.41,-0.227,-0.352,1178.6,996.6,1102,980.1,0
0.28,-75.8,65.41,159.71,-0.095,-0.016,1193.7,953.9,1175.7,974.5,0
0.3,-78.72,63.84,160.99,0.12,-0.016,1150.7,910.1,1131.3,980.1,0
0.32,-79.31,62.25,162.24,0,-0.051,1122.9,766,1102,980.1,0
0.34,-76.68,60.72,163.45,-0.095,-0.142,1074.8,715.8,1021.6,977.3,0
0.36,-69.36,59.33,164.64,-1.715,4.984,963.5,1004,875,977.3,0
0.38,-59.7,58.14,165.8,-0.219,0.439,1011.6,650.7,955.4,980.1,0
0.4,-51.8,57.1,166.94,0.248,0.146,1011.6,708.4,1014,980.1,0
0.42,-48.58,56.13,168.06,-0.215,-0.233,1122.9,737.2,1072.7,980.1,0
0.44,-50.92,55.11,169.17,0.211,-0.055,1234.2,794.8,1160.6,980.1,0
0.46,-58.23,53.95,170.24,-0.384,-0.174,1353.1,859.9,1256.1,977.3,0
0.48,-67.6,52.59,171.3,-0.095,0.008,1325.3,1119.3,1109.5,977.3,0
0.5,-76.68,51.06,172.32,0.165,-0.008,1289.9,1025.4,1219.3,980.1,0
0.52,-84.87,49.36,173.3,-0.062,-0.119,1214,975.2,1168.2,977.3,0
0.54,-90.14,47.56,174.26,0,0.087,1158.3,1032.9,1050.9,977.3,0
0.56,-92.19,45.72,175.17,-0.24,0.071,1115.3,1075.5,1035.8,983,0
0.58,-87.8,43.96,176.05,-0.289,0.119,1067.2,1025.4,955.4,980.1,0
0.6,-78.14,42.4,176.9,0.169,-1.395,1122.9,938.9,1043.4,980.1,0
0.62,-64.09,41.12,177.72,-0.256,-0.458,1143.2,873.8,1094.4,983,0
0.64,-50.62,40.1,178.52,-0.182,0.079,1206.4,766,1219.3,980.1,0
0.66,-38.92,39.32,179.31,-0.05,-0.091,1198.8,787.3,1241,983,0
0.68,-31.89,38.69,180.08,-0.012,-0.182,1289.9,737.2,1160.6,980.1,0
0.7,-30.13,38.08,180.84,-0.091,-0.043,1206.4,794.8,1043.4,980.1,0
0.72,-32.77,37.43,181.59,-0.07,-0.008,1122.9,794.8,1014,980.1,0
0.74,-40.67,36.62,182.32,0.198,-0.028,1039.4,794.8,955.4,980.1,0
0.76,-52.09,35.57,183.04,0.029,-0.004,1059.7,873.8,947.9,983,0
0.78,-63.5,34.3,183.72,0,-0.012,1074.8,859.9,1021.6,977.3,0
0.8,-74.04,32.82,184.38,-0.025,-0.075,1067.2,910.1,1014,980.1,0
0.82,-81.94,31.18,185,-0.07,-0.043,1186.1,917.6,1080.2,977.3,0
0.84,-85.16,29.48,185.59,0.004,-0.083,1186.1,946.4,1021.6,977.3,0
0.86,-85.16,27.78,186.15,-0.07,-0.04,1178.6,967.7,1014,980.1,0
0.88,-82.53,26.13,186.67,0.145,-0.075,1095.1,996.6,1014,980.1,0
0.9,-77.85,24.57,187.16,0.07,0.012,1095.1,996.6,955.4,980.1,0
