time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,38.94,57.6,57.95,-0.606,-0.07,11905.7,12109.3,11858.7,151.2,0
0.02,38.34,58.37,59.12,-0.488,0.2,11843.6,12076,11756,163.3,0
0.04,38.54,59.14,60.3,0.08,-0.135,11823.8,12071.1,11752,154.2,0
0.06,37.74,59.89,61.5,0.155,0.1,11787.8,11974.7,11731.9,151.2,0
0.08,37.94,60.65,62.71,-0.202,0.015,11712.5,11913.2,11631.2,157.2,0
0.1,37.54,61.4,63.94,-0.563,-0.34,11728.8,11914.9,11689.6,151.2,0
0.12,36.35,62.13,65.18,0.577,-0.46,11707.5,11848.4,11613.1,148.2,0
0.14,35.95,62.85,66.44,0.033,0.245,11610.9,11810.1,11548.7,151.2,0
0.16,33.35,63.51,67.71,-0.362,0.51,11527.5,11785.2,11468.1,160.2,0
0.18,30.36,64.12,68.99,0.502,-0.175,11543.8,11727,11470.2,154.2,0
0.2,28.36,64.69,70.29,0.188,-0.185,11462,11703.7,11419.8,157.2,0
0.22,27.96,65.25,71.59,-0.324,-0.06,11470.1,11712,11385.6,154.2,0
0.24,26.57,65.78,72.91,-0.784,0.12,11566.7,11720.4,11506.4,151.2,0
0.26,26.37,66.31,74.23,0.746,0.095,11668.3,11898.2,11603,157.2,0
0.28,27.17,66.85,75.57,0.573,-0.085,11956.4,12190.8,11907,154.2,0
0.3,27.37,67.4,76.92,0.291,-0.1,12326.4,12506.6,12289.5,148.2,0
0.32,27.17,67.94,78.28,-0.103,0.235,12501.7,12729.3,12442.5,154.2,0
0.34,26.77,68.48,79.65,0.793,-0.14,12580.4,12898.8,12559.2,163.3,0
0.36,26.57,69.01,81.03,0.948,-0.58,12708,12983.7,12696.1,154.2,0
0.38,24.97,69.51,82.42,-0.089,-0.415,12783.3,13000.3,12768.6,148.2,0
0.4,23.77,69.98,83.82,-0.188,0.09,12722.7,12983.7,12696.1,154.2,0
0.42,22.38,70.43,85.23,0.019,-0.01,12699.9,12945.4,12688.1,157.2,0
0.44,20.78,70.85,86.64,-0.178,-0.12,12798,12955.4,12782.7,148.2,0
0.46,20.18,71.25,88.07,0.61,0.24,12722.7,12938.8,12710.2,154.2,0
0.48,18.59,71.62,89.5,1.094,-0.04,12611.4,12900.5,12561.2,157.2,0
0.5,16.99,71.96,90.94,0.3,0.06,12591.7,12775.9,12571.4,148.2,0
0.52,15.79,72.28,92.38,0.174,-0.235,12524.6,12722.7,12478.7,151.2,0
0.54,15.79,72.59,93.84,-0.089,-0.045,12346.2,12601.3,12349.9,157.2,0
0.56,13.6,72.86,95.29,0.117,0.09,12282.2,12416.9,12317.7,148.2,0
0.58,12.2,73.11,96.76,0.977,0.055,12146.4,12413.5,12158.6,160.2,0
0.6,11.2,73.33,98.22,0.136,-0.625,12170.9,12393.6,12154.6,151.2,0
0.62,10.8,73.55,99.69,-1.103,0.18,12267.5,12431.8,12275.4,148.2,0
0.64,9.61,73.74,101.17,0.413,-0.03,12200.4,12393.6,12196.9,151.2,0
0.66,8.41,73.91,102.65,0.052,-0.01,12117,12428.4,12130.4,160.2,0
0.68,7.81,74.06,104.13,-0.15,-0.14,12162.8,12370.3,12217,154.2,0
0.7,7.01,74.21,105.61,-0.408,-0.095,12215.1,12363.7,12196.9,151.2,0
0.72,5.22,74.31,107.1,-0.61,0.335,12105.4,12297.2,12148.6,148.2,0
0.74,3.62,74.38,108.59,0.394,0.37,11999.1,12263.9,12003.6,160.2,0
0.76,1.83,74.42,110.07,-0.615,0.03,11971.2,12175.8,11991.6,154.2,0
0.78,0.43,74.43,111.56,-0.188,-0.14,11958,12102.7,11993.6,148.2,0
0.8,-1.17,74.4,113.05,0.263,0.015,11853.3,12026.2,11892.9,154.2,0
0.82,-2.16,74.36,114.54,0.671,-0.1,11830.4,12032.8,11856.7,157.2,0
0.84,-3.16,74.3,116.02,0.803,-0.245,11876.2,12034.5,11957.4,151.2,0
0.86,-4.56,74.21,117.51,0.521,0.145,11920.4,12049.5,11999.6,151.2,0
0.88,-5.76,74.09,118.99,-0.507,0.1,11905.7,12064.5,11971.5,151.2,0
0.9,-6.36,73.96,120.47,0.216,-0.04,11720.7,11906.5,11794.3,154.2,0
0.92,-7.95,73.8,121.94,-0.667,-0.07,11537.2,11630.6,11576.9,151.2,0
0.94,-7.55,73.65,123.42,0.559,0.055,11249.1,11382.9,11272.9,154.2,0
0.96,-7.75,73.5,124.89,0.376,-0.2,10998.6,11128.6,11033.3,154.2,0
