time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,25.8,-46.68,30.77,0.014,-0.095,6464.4,6432.1,6316.2,568.4,0
0.02,29.99,-46.08,29.84,0.019,0.08,6484.1,6466.9,6390.7,577.5,0
0.04,34.98,-45.38,28.94,-0.192,0.095,6582.3,6581.7,6471.2,568.4,0
0.06,38.57,-44.61,28.04,0.108,0.005,6670.7,6656.5,6569.9,568.4,0
0.08,42.96,-43.75,27.17,0.221,-0.45,6744.4,6701.3,6640.3,568.4,0
0.1,46.15,-42.83,26.31,-0.113,-0.2,6764.1,6781.1,6672.5,577.5,0
0.12,51.34,-41.8,25.48,0.094,-0.065,6870.4,6889.2,6803.4,565.4,0
0.14,56.13,-40.68,24.66,0.033,0.035,6913,6887.5,6829.5,571.4,0
0.16,59.72,-39.49,23.87,0,-0.025,6935.9,6970.6,6851.7,568.4,0
0.18,59.72,-38.29,23.11,0.047,0.005,6994.9,6970.6,6908.1,568.4,0
0.2,56.73,-37.16,22.36,0.005,-0.055,7076.7,7143.5,6986.6,565.4,0
0.22,49.34,-36.17,21.64,-0.038,-0.235,7135.7,7143.5,7014.8,565.4,0
0.24,39.57,-35.38,20.93,0.019,0.045,7088.3,7140.1,6996.6,577.5,0
0.26,29.39,-34.79,20.24,-0.07,-0.075,7127.5,7120.2,7034.9,568.4,0
0.28,20.61,-34.38,19.55,0.061,-0.14,7125.9,7148.5,7004.7,574.5,0
0.3,16.02,-34.06,18.87,-0.038,0.07,7178.3,7201.7,7055,571.4,0
0.32,14.23,-33.77,18.19,0.047,-0.01,7245.4,7254.9,7119.4,568.4,0
0.34,15.82,-33.46,17.52,0.061,-0.04,7333.8,7419.4,7232.2,568.4,0
0.36,18.42,-33.09,16.86,0.023,0.08,7510.7,7494.2,7387.2,568.4,0
0.38,22.61,-32.64,16.21,0.038,-0.11,7517.2,7560.7,7407.3,571.4,0
0.4,26.8,-32.1,15.57,0.066,0.015,7548.3,7532.5,7423.4,565.4,0
0.42,33.18,-31.44,14.94,-0.061,0.14,7474.6,7457.7,7324.8,565.4,0
