time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,33.7,-47.28,50.6,-0.221,0.785,7063.9,7087.6,6971.3,444.5,0
0.02,31.11,-46.65,49.67,-0.305,-0.235,6967.4,7019.4,6920.9,447.5,0
0.04,31.11,-46.03,48.75,-0.282,0.58,6877.4,6942.9,6792,453.5,0
0.06,31.11,-45.41,47.84,-0.014,-0.235,6856.1,6846.5,6800.1,450.5,0
0.08,32.11,-44.77,46.95,0.197,-0.06,6849.5,6810,6808.2,447.5,0
0.1,31.71,-44.13,46.06,0.192,0.085,6828.2,6833.3,6731.7,444.5,0
0.12,29.11,-43.55,45.19,-0.094,0.13,6708.7,6741.8,6673.3,450.5,0
0.14,25.52,-43.04,44.33,-0.094,0.275,6687.4,6675.3,6653.2,447.5,0
0.16,20.33,-42.63,43.48,-0.028,0.03,6592.4,6653.7,6562.6,444.5,0
0.18,16.54,-42.3,42.63,-0.164,-0.065,6546.6,6517.4,6476,450.5,0
0.2,12.35,-42.06,41.79,0.155,0.165,6430.3,6489.2,6379.4,444.5,0
0.22,11.15,-41.83,40.96,-0.16,0.21,6312.4,6354.5,6224.4,444.5,0
0.24,12.35,-41.59,40.12,0.019,-0.26,6209.2,6190,6125.8,444.5,0
0.26,15.54,-41.28,39.3,0.042,0.055,6106.1,6085.2,6027.1,444.5,0
0.28,19.73,-40.88,38.48,-0.056,-0.1,6060.3,6068.6,6053.3,450.5,0
0.3,23.72,-40.41,37.67,0.061,-0.06,6120.8,6130.1,6055.3,444.5,0
0.32,24.92,-39.91,36.88,0.08,0.045,6112.7,6106.8,6089.5,447.5,0
0.34,22.93,-39.45,36.09,0.009,0.375,6179.8,6204.9,6139.9,444.5,0
0.36,19.33,-39.06,35.3,-0.014,0.37,6148.7,6203.2,6095.5,450.5,0
0.38,14.35,-38.78,34.53,-0.07,0.17,6170,6209.9,6115.6,453.5,0
0.4,11.75,-38.54,33.76,-0.042,0.15,6186.3,6166.7,6145.9,447.5,0
0.42,10.16,-38.34,32.99,-0.033,0.025,6170,6194.9,6129.7,453.5,0
0.44,10.95,-38.12,32.23,0.009,0.045,6184.8,6209.9,6129.7,453.5,0
0.46,13.35,-37.85,31.47,-0.056,-0.06,6304.2,6241.5,6244.5,447.5,0
