time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,35.9161,0,0,0,0,10346.6,10522.8,10281.9,571.4,0
0.2,39.9068,0,0,0,0,10256.6,10461.3,10181.3,577.5,0
0.4,52.4775,0,0,0,0,10007.7,10148.8,9957.8,571.4,0
0.6,18.3571,0,0,0,0,9197.2,9341,9126.4,571.4,0
0.8,20.9511,0,0,0,0,8519.3,8622.9,8464.1,571.4,0
1,-8.7795,0,0,0,0,8710.9,8832.3,8633.2,571.4,0
1.2,24.9418,0,0,0,0,9264.3,9424.1,9247.2,568.4,0
1.4,14.3665,0,0,0,0,9632.7,9813.1,9613.6,568.4,0
1.6,25.1413,0,0,0,0,9640.9,9776.5,9621.7,565.4,0
1.8,18.1576,0,0,0,0,8828.8,8952,8816.4,571.4,0
2,-0.3991,0,0,0,0,8475.1,8593,8450.1,571.4,0
2.2,-9.3781,0,0,0,0,8172.2,8225.6,8160.2,574.5,0
2.4,-16.162,0,0,0,0,8697.7,8744.3,8649.4,565.4,0
2.6,8.97904,0,0,0,0,8866.4,8960.3,8880.9,568.4,0
2.8,-13.169,0,0,0,0,8697.7,8789.1,8663.5,565.4,0
3,-11.174,0,0,0,0,8262.2,8302.1,8162.2,568.4,0
3.2,-35.118,0,0,0,0,7805.4,7838.3,7753.6,568.4,0
3.4,-28.932,0,0,0,0,7649.9,7770.2,7646.8,571.4,0
3.6,-44.097,0,0,0,0,7666.2,7712,7663,565.4,0
3.8,-44.097,0,0,0,0,7870.9,7904.8,7900.5,571.4,0
4,-35.916,0,0,0,0,7782.5,7845,7787.8,571.4,0
4.2,-49.484,0,0,0,0,7422.2,7419.4,7373.1,568.4,0
4.4,-43.099,0,0,0,0,6492.3,6475.3,6441,574.5,0
4.6,-90.988,0,0,0,0,6073.1,6034.8,5984.1,571.4,0
4.8,-43.099,0,0,0,0,5917.6,5906.8,5891.4,574.5,0
5,-68.839,0,0,0,0,5896.2,5870.2,5829,571.4,0
5.2,9.17857,0,0,0,0,4628.9,4643.5,4560.8,571.4,0
5.4,-96.774,0,0,0,0,4435.8,4402.4,4361.5,577.5,0
5.6,-37.313,0,0,0,0,5062.8,5024.1,5017.8,574.5,0
5.8,-13.169,0,0,0,0,6381,6377.2,6306.1,577.5,0
6,30.1297,0,0,0,0,7132.5,7140.1,7095.2,577.5,0
6.2,33.5217,0,0,0,0,6764.1,6766.1,6714.8,577.5,0
6.4,16.5613,0,0,0,0,6454.6,6422,6362.5,577.5,0
6.6,46.4915,0,0,0,0,6307.3,6332.3,6221.6,577.5,0
6.8,10.1762,0,0,0,0,6218.9,6227.6,6108.8,577.5,0
7,26.7376,0,0,0,0,6726.5,6757.8,6664.4,580.5,0
7.2,27.1366,0,0,0,0,7250.4,7304.7,7165.7,577.5,0
7.4,58.264,0,0,0,0,7279.9,7289.7,7179.8,577.5,0
7.6,35.9161,0,0,0,0,6467.8,6495.2,6388.6,583.5,0
7.8,0.99767,0,0,0,0,6107.6,6099.6,6030.3,580.5,0
8,29.132,0,0,0,0,6403.9,6430.4,6314.2,574.5,0
8.2,19.3548,0,0,0,0,6793.6,6855.9,6714.8,577.5,0
8.4,38.3106,0,0,0,0,7037.5,7043.7,6934.2,574.5,0
8.6,1.39674,0,0,0,0,7479.6,7522.5,7413.3,574.5,0
8.8,29.3315,0,0,0,0,8170.7,8268.8,8129.9,580.5,0
9,36.1157,0,0,0,0,8532.5,8636.2,8462.1,577.5,0
9.2,-1.9953,0,0,0,0,9393.8,9540.4,9341.8,580.5,0
9.4,43.4984,0,0,0,0,10294.3,10409.8,10217.5,574.5,0
9.6,47.4891,0,0,0,0,9976.7,10162.1,9969.9,577.5,0
9.8,19.7539,0,0,0,0,9292.2,9377.5,9245.2,574.5,0
10,24.9418,0,0,0,0,8562,8696,8518.5,577.5,0
10.2,-11.373,0,0,0,0,8710.9,8817.4,8675.5,571.4,0
10.4,26.9371,0,0,0,0,9241.4,9355.9,9211,571.4,0
10.6,10.5753,0,0,0,0,9654,9819.7,9633.7,571.4,0
10.8,29.132,0,0,0,0,9631.1,9751.5,9611.6,574.5,0
11,14.7655,0,0,0,0,8902.5,8996.9,8858.7,571.4,0
11.2,2.79348,0,0,0,0,8489.8,8563,8464.1,571.4,0
11.4,-8.58,0,0,0,0,8187,8225.6,8174.2,574.5,0
11.6,-17.16,0,0,0,0,8629.1,8659.4,8653.4,574.5,0
11.8,6.38509,0,0,0,0,8858.3,8877.2,8830.5,571.4,0
12,-11.573,0,0,0,0,8725.6,8742.6,8703.7,571.4,0
12.2,-6.3851,0,0,0,0,8224.6,8338.6,8224.6,571.4,0
12.4,-37.712,0,0,0,0,7812,7845,7773.7,571.4,0
12.6,-27.735,0,0,0,0,7746.4,7823.4,7697.2,568.4,0
