Gassy Well w/separator  August 1996
5x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     Pressure(psi)
 0 ,           444.5 
 .02 ,         447.5 
 .04 ,         453.5 
 .06 ,         450.5 
 .08 ,         447.5 
 .1 ,          444.5 
 .12 ,         450.5 
 .14 ,         447.5 
 .16 ,         444.5 
 .18 ,         450.5 
 .2 ,          444.5 
 .22 ,         444.5 
 .24 ,         444.5 
 .26 ,         444.5 
 .28 ,         450.5 
 .3 ,          444.5 
 .32 ,         447.5 
 .34 ,         444.5 
 .36 ,         450.5 
 .38 ,         453.5 
 .4 ,          447.5 
 .42 ,         453.5 
 .44 ,         453.5 
 .46 ,         447.5 
 .48 ,         444.5 
 .5 ,          444.5 
 .52 ,         444.5 
 .54 ,         444.5 
 .56 ,         444.5 
 .58 ,         450.5 
 .6 ,          450.5 
 .62 ,         444.5 
 .64 ,         444.5 
 .66 ,         444.5 
 .68 ,         444.5 
 .7 ,          447.5 
 .72 ,         444.5 
 .74 ,         444.5 
 .76 ,         459.6 
 .78 ,         444.5 
 .8 ,          444.5 
 .82 ,         450.5 
 .84 ,         444.5 
 .86 ,         444.5 
 .88 ,         444.5 
 .9 ,          450.5 
 .92 ,         444.5 
 .94 ,         444.5 
 .96 ,         450.5 
 .98 ,         450.5 
 1 ,           444.5 
 1.02 ,        444.5 
 1.04 ,        450.5 
 1.06 ,        447.5 
 1.08 ,        444.5 
 1.1 ,         453.5 
 1.12 ,        444.5 
 1.14 ,        447.5 
 1.16 ,        450.5 
 1.18 ,        444.5 
 1.2 ,         450.5 
 1.22 ,        444.5 
 1.24 ,        450.5 
 1.26 ,        444.5 
 1.28 ,        453.5 
 1.3 ,         447.5 
 1.32 ,        441.4 
 1.34 ,        450.5 
 1.36 ,        444.5 
 1.38 ,        447.5 
 1.4 ,         447.5 
 1.42 ,        441.4 
 1.44 ,        444.5 
 1.46 ,        453.5 
 1.48 ,        447.5 
 1.5 ,         444.5 
 1.52 ,        447.5 
 1.54 ,        444.5 
 1.56 ,        441.4 
 1.58 ,        450.5 
 1.6 ,         447.5 
 1.62 ,        444.5 
 1.64 ,        450.5 
 1.66 ,        450.5 
 1.68 ,        450.5 
 1.7 ,         444.5 
 1.72 ,        444.5 
 1.74 ,        453.5 
 1.76 ,        444.5 
