Gassy Well w/separator  August 1996
2x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     Pressure(psi)
 0 ,           1551.1 
 .02 ,         1556.8 
 .04 ,         1548.3 
 .06 ,         1548.3 
 .08 ,         1548.3 
 .1 ,          1545.5 
 .12 ,         1548.3 
 .14 ,         1548.3 
 .16 ,         1548.3 
 .18 ,         1551.1 
 .2 ,          1548.3 
 .22 ,         1548.3 
 .24 ,         1551.1 
 .26 ,         1545.5 
 .28 ,         1545.5 
 .3 ,          1548.3 
 .32 ,         1548.3 
 .34 ,         1545.5 
 .36 ,         1548.3 
 .38 ,         1545.5 
 .4 ,          1551.1 
 .42 ,         1545.5 
 .44 ,         1548.3 
 .46 ,         1545.5 
 .48 ,         1545.5 
 .5 ,          1545.5 
 .52 ,         1545.5 
 .54 ,         1545.5 
 .56 ,         1548.3 
 .58 ,         1545.5 
 .6 ,          1548.3 
 .62 ,         1545.5 
 .64 ,         1548.3 
 .66 ,         1548.3 
 .68 ,         1545.5 
 .7 ,          1545.5 
 .72 ,         1542.6 
 .74 ,         1542.6 
 .76 ,         1542.6 
 .78 ,         1539.8 
 .8 ,          1539.8 
 .82 ,         1537 
 .84 ,         1537 
 .86 ,         1539.8 
 .88 ,         1534.2 
 .9 ,          1534.2 
 .92 ,         1534.2 
 .94 ,         1528.5 
 .96 ,         1528.5 
 .98 ,         1528.5 
 1 ,           1525.7 
 1.02 ,        1522.8 
 1.04 ,        1528.5 
 1.06 ,        1528.5 
 1.08 ,        1528.5 
 1.1 ,         1525.7 
 1.12 ,        1525.7 
 1.14 ,        1525.7 
 1.16 ,        1528.5 
 1.18 ,        1525.7 
 1.2 ,         1525.7 
 1.22 ,        1522.8 
 1.24 ,        1525.7 
 1.26 ,        1525.7 
 1.28 ,        1525.7 
 1.3 ,         1528.5 
 1.32 ,        1525.7 
 1.34 ,        1525.7 
 1.36 ,        1525.7 
 1.38 ,        1528.5 
 1.4 ,         1528.5 
 1.42 ,        1528.5 
 1.44 ,        1534.2 
 1.46 ,        1537 
 1.48 ,        1548.3 
 1.5 ,         1562.5 
 1.52 ,        1576.6 
 1.54 ,        1579.4 
 1.56 ,        1579.4 
 1.58 ,        1585.1 
 1.6 ,         1590.8 
 1.62 ,        1596.4 
 1.64 ,        1602.1 
 1.66 ,        1607.7 
 1.68 ,        1607.7 
 1.7 ,         1607.7 
 1.72 ,        1607.7 
 1.74 ,        1607.7 
 1.76 ,        1604.9 
 1.78 ,        1607.7 
