time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,0.48,0.01,-6,-0.247,-0.045,4.5,58.6,-441.3,743.9,0
0.02,0.69,0.02,-6,-0.123,0.175,40.2,50.4,37.4,741.1,0
0.04,1.11,0.05,-6,-0.157,0.063,-1.8,52.5,25.1,746.7,0
0.06,1.11,0.07,-6,0,-0.157,42.3,38.2,8.8,746.7,0
0.08,-0.35,0.06,-6,-0.055,-0.269,48.6,30,14.9,743.9,0
0.1,-2.23,0.02,-6,-0.243,-0.117,27.6,38.2,8.8,746.7,0
0.12,-3.69,-0.06,-6,-0.06,-0.022,12.9,38.2,41.4,746.7,0
0.14,-3.48,-0.13,-6,-0.26,-0.058,33.9,44.3,31.2,743.9,0
0.16,-2.65,-0.18,-6,-4.86,-0.942,313.5,1.4,47.5,743.9,0
0.18,-1.61,-0.21,-6.01,-1.694,0.749,-37.6,3.4,2.6,749.5,0
0.2,0.06,-0.21,-6.01,0.157,0.108,50.7,32,18.9,749.5,0
0.22,0.48,-0.2,-6.02,0.204,-0.135,12.9,52.5,41.4,746.7,0
0.24,1.11,-0.18,-6.02,-0.064,-0.161,-10.2,72.9,47.5,743.9,0
0.26,0.69,-0.17,-6.02,-0.26,-0.072,69.7,21.8,-11.5,741.1,0
0.28,-0.56,-0.18,-6.03,-0.221,0.054,-24.9,58.6,31.2,743.9,0
0.3,-2.23,-0.22,-6.03,-0.094,0.278,69.7,50.4,21.1,741.1,0
0.32,-3.69,-0.3,-6.04,-0.702,-0.004,4.5,58.6,63.8,743.9,0
0.34,-3.48,-0.37,-6.04,-0.238,0.314,33.9,15.7,14.9,743.9,0
0.36,-2.65,-0.42,-6.05,-0.357,0.04,40.2,21.8,21.1,741.1,0
0.38,-1.81,-0.45,-6.06,-0.272,-0.063,33.9,44.3,47.5,743.9,0
0.4,-0.15,-0.46,-6.07,0.06,-0.318,55,21.8,21.1,741.1,0
0.42,1.94,-0.42,-6.08,0.094,0.256,40.2,50.4,53.7,741.1,0
0.44,3.4,-0.35,-6.09,0.06,0.09,10.8,64.8,53.7,741.1,0
0.46,3.82,-0.27,-6.09,-0.281,-0.121,31.9,13.6,-5.4,738.2,0
0.48,3.61,-0.2,-6.1,-0.094,-0.179,23.5,62.7,49.7,735.4,0
0.5,2.36,-0.16,-6.1,-0.004,-0.072,29.8,40.2,23.2,732.6,0
0.52,0.9,-0.14,-6.1,-0.055,-0.112,29.8,25.9,23.2,732.6,0
0.54,1.11,-0.12,-6.1,0.013,0.036,21.4,46.3,29.4,729.8,0
0.56,0.9,-0.1,-6.11,-0.098,-0.054,36.1,46.3,29.4,729.8,0
0.58,0.9,-0.08,-6.11,-0.106,-0.09,50.9,32,29.4,729.8,0
0.6,1.11,-0.06,-6.11,-0.077,0.063,27.8,38.2,35.5,727,0
0.62,1.11,-0.04,-6.11,-0.123,-0.04,36.1,17.7,13.1,729.8,0
0.64,1.31,-0.01,-6.11,-0.085,-0.027,-8,60.7,62,729.8,0
0.66,1.11,0.01,-6.11,0.017,-0.117,27.8,23.8,35.5,727,0
0.68,0.27,0.02,-6.11,-0.021,-0.103,-1.7,52.5,51.8,727,0
0.7,-0.35,0.01,-6.11,-0.085,-0.022,34.1,58.6,25.4,724.1,0
0.72,-0.77,0,-6.11,-0.2,-0.359,25.7,79.1,64.1,721.3,0
0.74,0.69,0.01,-6.11,-0.23,-0.278,4.7,30,25.4,724.1,0
0.76,1.31,0.04,-6.11,-0.064,-0.161,11,50.4,47.8,721.3,0
0.78,1.73,0.07,-6.11,-0.047,0.004,17.3,70.9,37.7,718.5,0
0.8,1.31,0.1,-6.1,-0.183,0.085,-3.7,64.8,64.1,721.3,0
0.82,0.27,0.1,-6.1,-0.068,-0.013,40.4,36.1,31.5,721.3,0
0.84,-0.77,0.09,-6.1,0.272,-0.076,2.6,56.6,54,718.5,0
0.86,-1.19,0.06,-6.1,0.128,-0.265,46.8,13.6,21.4,718.5,0
0.88,-0.56,0.05,-6.1,-0.204,-0.798,-28.9,11.6,17.4,712.9,0
0.9,-0.15,0.05,-6.1,0.089,-0.229,59.4,40.2,17.4,712.9,0
0.92,0.48,0.06,-6.1,0.051,0.112,74.1,54.5,33.7,712.9,0
0.94,0.69,0.07,-6.09,-0.196,0.004,21.6,60.7,56.1,710.1,0
0.96,0.9,0.09,-6.09,-0.336,-0.278,51,-25.2,-57.9,710.1,0
0.98,1.11,0.11,-6.09,-0.123,-0.471,86.8,23.8,13.4,707.2,0
1,0.9,0.13,-6.09,-0.136,-0.341,6.9,75,56.1,710.1,0
1.02,1.11,0.15,-6.08,0.136,0.126,63.7,30,35.8,704.4,0
1.04,0.9,0.17,-6.08,-0.136,-0.287,78.4,44.3,35.8,704.4,0
1.06,0.48,0.18,-6.08,1.226,-0.574,19.5,58.6,35.8,704.4,0
1.08,0.27,0.19,-6.07,0.626,1.57,49,15.7,3.2,704.4,0
1.1,0.27,0.19,-6.07,0.494,0.22,11.2,50.4,25.7,701.6,0
1.12,-0.15,0.19,-6.07,-0.191,0.78,11.2,64.7,25.7,701.6,0
1.14,-0.35,0.18,-6.06,0.328,0.901,-3.6,93.4,74.6,701.6,0
1.16,-0.77,0.17,-6.06,-0.068,0.39,25.9,-21.2,-39.5,701.6,0
1.18,-0.35,0.16,-6.06,-1.706,-0.682,40.6,21.8,25.7,701.6,0
1.2,-0.15,0.16,-6.05,-1.077,-0.063,55.3,-21.2,-6.9,701.6,0
1.22,0.27,0.16,-6.05,0.064,0.202,40.6,7.5,9.4,701.6,0
1.24,0.27,0.17,-6.05,0.983,-0.3,-18.3,79.1,90.9,701.6,0
1.26,0.06,0.17,-6.04,0.511,-0.686,32.2,70.9,64.4,698.8,0
1.28,-0.15,0.16,-6.04,0.081,-0.184,53.3,19.7,21.7,696,0
1.3,0.06,0.17,-6.04,0.026,-0.309,17.5,-0.7,-17.1,698.8,0
1.32,0.27,0.17,-6.03,-0.502,0.013,9.1,105.7,103.2,696,0
1.34,0.06,0.17,-6.03,-0.106,0.179,97.4,-23.2,5.4,696,0
1.36,0.27,0.18,-6.03,0.289,-0.758,-20.3,77,54.3,696,0
