time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,74.3036,0,0,0,0,6741.6,6575.2,6797.8,1153.2,0
0.2,79.2972,0,0,0,0,6704.5,6552.5,6774.5,1156.2,0
0.4,93.8782,0,0,0,0,6766.4,6499.9,6767.1,1256.2,0
0.6,1.99741,0,0,0,0,6212.3,6002.2,6212.3,1315.1,0
0.8,-35.554,0,0,0,0,6241.8,6060.5,6271.8,1294.5,0
1,12.3839,0,0,0,0,6721.7,6599.4,6870.3,1297.4,0
1.2,42.1453,0,0,0,0,6846.4,6638.1,6925.1,1309.2,0
1.4,19.7744,0,0,0,0,6274.4,6092.9,6407.6,1247.4,0
1.6,-12.584,0,0,0,0,5545.9,5376.1,5579.7,1144.4,0
1.8,-28.163,0,0,0,0,5320,5264.5,5315.8,1097.3,0
2,-26.765,0,0,0,0,5552,5367.5,5495.7,1091.5,0
2.2,-10.786,0,0,0,0,5503.7,5203.7,5460,1067.9,0
2.4,-14.182,0,0,0,0,5240.7,5184.5,5306,1023.8,0
2.6,-50.335,0,0,0,0,4934.6,4719.2,4827.9,1035.6,0
2.8,-74.104,0,0,0,0,4691.2,4432.1,4652,1070.9,0
3,-60.122,0,0,0,0,5017.7,4860.3,5047.6,1062,0
3.2,-25.567,0,0,0,0,5305.7,5091.4,5299.5,1041.5,0
3.4,-30.161,0,0,0,0,4878.6,4807.2,4992.7,1050.3,0
3.6,-65.915,0,0,0,0,4523.4,4523,4597.2,1059.1,0
3.8,-9.5876,0,0,0,0,3964.8,3876.6,3962.5,1073.8,0
4,-1.9974,0,0,0,0,3360.9,3343.1,3370.1,1094.4,0
4.2,-43.344,0,0,0,0,2687.5,2682.3,2705.8,1109.1,0
4.4,-73.704,0,0,0,0,2563.5,2514.9,2489.9,1132.7,0
4.6,-47.139,0,0,0,0,3038.9,3063.7,3069.2,1147.4,0
4.8,12.9832,0,0,0,0,3380.5,3219.2,3288.9,1173.8,0
5,10.1868,0,0,0,0,2980.7,2933.4,2995,1168,0
5.2,-49.336,0,0,0,0,2648.9,2528.6,2578.5,1153.2,0
