time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,92.2803,0,0,0,0,7645.4,7732.7,7740.5,1126.8,0
0.2,99.2712,0,0,0,0,7772.4,7802.5,7856.8,1132.7,0
0.4,119.445,0,0,0,0,7454,7397.8,7592.7,1306.2,0
0.6,-9.7873,0,0,0,0,6788.8,6904,6894,1373.9,0
0.8,-60.522,0,0,0,0,6736.7,6952.3,6765.3,1341.5,0
1,3.59534,0,0,0,0,7209.1,7354,7281.5,1326.8,0
1.2,43.943,0,0,0,0,7719.2,7865.7,7689.5,1344.5,0
1.4,14.9806,0,0,0,0,6922,7036.9,7013.5,1270.9,0
1.6,-10.586,0,0,0,0,6170.8,6211,6117.9,1170.9,0
1.8,-46.939,0,0,0,0,5982.6,5993.4,6041.9,1156.2,0
2,-56.327,0,0,0,0,6088.5,6113.8,6061.3,1123.8,0
2.2,-7.9896,0,0,0,0,6393.9,6376.5,6389.6,1076.8,0
2.4,-0.5992,0,0,0,0,5953.3,6021,6053.5,1065,0
2.6,-53.531,0,0,0,0,5641.1,5477.6,5731.9,1073.8,0
2.8,-103.07,0,0,0,0,5467.3,5317.6,5507.9,1059.1,0
3,-72.905,0,0,0,0,5573.1,5409.2,5630.9,1026.7,0
3.2,-24.368,0,0,0,0,5934.4,5800.2,5958.8,1020.9,0
3.4,-26.166,0,0,0,0,5907.2,5744.2,5975.5,1035.6,0
3.6,-47.738,0,0,0,0,5570.9,5349.3,5613.9,1032.6,0
3.8,-13.982,0,0,0,0,4815,4605.9,4820.5,1056.2,0
4,-12.584,0,0,0,0,3106.1,2950.1,3045.5,1112.1,0
4.2,-10.187,0,0,0,0,1331.4,1242.8,1291.5,1170.9,0
4.4,-87.886,0,0,0,0,399.5,452.3,405.2,1185.6,0
4.6,-110.86,0,0,0,0,1144.7,1099,1130.2,1226.8,0
4.8,0.59922,0,0,0,0,2108.3,2094.3,2124.1,1241.5,0
5,60.3218,0,0,0,0,1871.8,1885.7,1894,1203.3,0
5.2,-24.169,0,0,0,0,970.9,910,875.1,1156.2,0
5.4,-102.67,0,0,0,0,792.6,846.3,691.1,1153.2,0
5.6,-52.532,0,0,0,0,1602.8,1658.8,1556.1,1156.2,0
5.8,22.1712,0,0,0,0,2007.9,2021.7,1884.2,1129.7,0
6,6.59145,0,0,0,0,1401,1470.7,1287.9,1120.9,0
6.2,-60.322,0,0,0,0,954.3,1253.3,813.7,1162.1,0
6.4,-59.323,0,0,0,0,1243.7,1227.1,1276.3,1212.1,0
6.6,-6.3917,0,0,0,0,1748.6,1762.1,1767,1206.2,0
6.8,28.7627,0,0,0,0,1948.1,1991,1868.7,1191.5,0
