time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,-6.01,-53.52,48.93,0,-0.795,6113.7,6115.9,5895.1,42.3,0
0.02,-5.81,-53.64,47.86,-0.451,0.06,6202.1,6160.8,5951.4,42.3,0
0.04,-5.61,-53.75,46.78,0.446,0.32,6246.3,6280.5,6021.9,42.3,0
0.06,-5.21,-53.85,45.7,0.493,-0.33,6343.4,6349.1,6100.9,39.3,0
0.08,-4.81,-53.95,44.63,1.568,-0.81,6490.7,6513.7,6199.5,39.3,0
0.1,-3.81,-54.02,43.55,0.042,-0.615,6638.1,6678.2,6410.9,39.3,0
0.12,-2.21,-54.07,42.46,1.174,-0.775,6646.7,6672.1,6447.7,36.3,0
0.14,-0.62,-54.08,41.38,0.291,0.32,6814.9,6782.9,6594.1,39.3,0
0.16,1.58,-54.05,40.3,0.793,-0.295,6838.3,6791.8,6616.8,36.3,0
0.18,3.97,-53.97,39.22,0.183,-0.7,7021.2,7022.3,6805.5,39.3,0
0.2,5.37,-53.86,38.14,-0.15,-0.39,7042.1,7073.3,6839.2,42.3,0
0.22,6.96,-53.72,37.07,-0.446,-0.37,7206.7,7165.8,6969,36.3,0
0.24,8.96,-53.54,36,0.15,-0.23,7324.6,7285.4,7138.1,36.3,0
0.26,10.36,-53.34,34.93,-0.991,-0.87,7360.2,7366.4,7185.9,39.3,0
0.28,11.55,-53.11,33.87,-0.437,-0.435,7330.7,7336.5,7185.9,39.3,0
0.3,13.15,-52.84,32.81,0.23,0.555,7319.5,7399.8,7216.7,48.4,0
0.32,14.95,-52.54,31.76,-0.502,-0.1,7366.3,7342.6,7191.5,42.3,0
0.34,16.14,-52.22,30.72,-0.831,-0.13,7404.4,7456.2,7256.4,39.3,0
0.36,17.94,-51.86,29.68,0.061,0.34,7363.7,7474.6,7216.7,48.4,0
0.38,18.94,-51.48,28.65,-0.695,-0.025,7384.6,7406,7179.9,51.4,0
0.4,20.13,-51.08,27.63,-0.085,0.085,7505,7513.3,7253.4,45.4,0
0.42,21.53,-50.65,26.62,-0.812,0.32,7469.4,7462.3,7290.1,42.3,0
0.44,22.93,-50.19,25.61,0.62,0.355,7334.3,7459.7,7160.3,48.4,0
0.46,24.52,-49.7,24.62,0.216,0.03,7355.1,7420.9,7208.1,51.4,0
0.48,26.12,-49.18,23.64,-0.695,-0.03,7334.3,7340,7132.1,48.4,0
0.5,27.72,-48.63,22.66,-0.019,0.565,7349,7444.7,7160.3,48.4,0
0.52,28.91,-48.05,21.7,0.254,-0.215,7396.8,7463.1,7205.1,57.4,0
0.54,30.31,-47.44,20.75,0.192,-0.06,7361.2,7382.2,7100.9,54.4,0
0.56,31.51,-46.81,19.82,-0.362,-0.59,7296.2,7286.3,7123.6,51.4,0
0.58,33.1,-46.15,18.89,0.441,-0.2,7207.7,7241.4,7024.9,51.4,0
0.6,34.1,-45.47,17.98,-0.094,0.025,7207.7,7211.5,7039,51.4,0
0.62,35.1,-44.76,17.09,0.155,-0.135,7169.6,7187.7,6974.1,54.4,0
0.64,36.1,-44.04,16.21,0.136,0.06,7134.1,7106.8,6926.3,51.4,0
0.66,37.29,-43.3,15.34,0.329,-0.205,7186.9,7205.3,6977.1,48.4,0
0.68,37.29,-42.55,14.49,-0.141,0.12,7134.1,7151.6,6869.9,51.4,0
0.7,38.29,-41.79,13.66,0.239,0.16,7146.3,7193.9,6909.2,57.4,0
0.72,40.09,-40.98,12.84,0.465,0.4,7134.1,7166.6,6884,51.4,0
0.74,41.48,-40.15,12.03,0.131,0.055,7172.2,7130.5,6948.9,48.4,0
0.76,43.08,-39.29,11.25,0.005,0.15,7142.7,7160.4,6934.8,48.4,0
0.78,44.68,-38.4,10.48,0.404,-0.17,7210.3,7229.1,7013.8,45.4,0
0.8,45.87,-37.48,9.73,0.225,-0.23,7363.7,7325,7146.2,48.4,0
0.82,46.47,-36.55,9,-0.075,0.415,7298.7,7288.9,7084.3,45.4,0
0.84,46.87,-35.61,8.29,0.23,0.275,7369.8,7406,7179.9,51.4,0
0.86,47.87,-34.66,7.59,0.122,0.08,7342.9,7363.7,7154.8,45.4,0
0.88,48.07,-33.7,6.92,-0.362,0.21,7408,7459.7,7230.7,48.4,0
0.9,49.66,-32.7,6.26,0.39,-0.215,7422.7,7429.7,7244.8,48.4,0
0.92,50.46,-31.69,5.63,-0.117,-0.13,7505,7513.3,7337.9,45.4,0
0.94,51.66,-30.66,5.02,0.192,0.12,7608.2,7618.1,7436.6,45.4,0
0.96,52.86,-29.6,4.43,-0.061,0.085,7675.7,7716.6,7543.8,42.3,0
0.98,53.06,-28.54,3.85,0.211,0.09,7732.2,7818.7,7611.2,48.4,0
1,53.65,-27.47,3.31,0.178,-0.155,7852.6,7836.3,7741.1,42.3,0
1.02,54.45,-26.38,2.78,0.221,0.345,7814.5,7872.4,7732.5,45.4,0
1.04,55.85,-25.26,2.27,0.052,0.185,7894.3,7968.3,7794.4,48.4,0
1.06,56.65,-24.13,1.79,-0.427,-0.475,8038.1,8069.5,7918.7,39.3,0
1.08,57.05,-22.99,1.33,0.099,-0.18,7997.4,8117.9,7864.9,48.4,0
1.1,58.04,-21.83,0.89,-0.362,-0.04,8109.2,8156.6,8028.4,45.4,0
1.12,57.84,-20.67,0.48,0.235,0.425,8250.5,8315,8177.9,42.3,0
1.14,57.84,-19.51,0.09,-0.516,-0.04,8241.8,8291.3,8183.4,45.4,0
1.16,58.44,-18.35,-0.28,-0.413,-0.125,8244.4,8293.9,8172.4,39.3,0
1.18,58.04,-17.18,-0.62,0.16,0.105,8279.9,8345,8192,42.3,0
1.2,58.44,-16.02,-0.94,-0.192,-0.15,8338.9,8374.9,8192,42.3,0
1.22,58.64,-14.84,-1.24,-0.624,0.32,8241.8,8411,8225.7,45.4,0
1.24,59.24,-13.66,-1.51,-0.634,-0.02,8321.6,8342.3,8174.9,48.4,0
1.26,59.64,-12.47,-1.76,-0.108,0.07,8418.7,8381,8282.1,45.4,0
1.28,59.44,-11.28,-1.99,-0.052,-0.075,8448.1,8470.8,8352.5,45.4,0
1.3,58.84,-10.1,-2.19,-0.108,0.01,8351.1,8417.1,8287.6,48.4,0
1.32,59.04,-8.92,-2.37,-0.315,0.28,8424.8,8476.9,8329.9,48.4,0
1.34,58.84,-7.74,-2.52,0.131,0.085,8327.7,8393.3,8265,51.4,0
1.36,59.04,-6.56,-2.65,-0.408,-0.09,8321.6,8372.2,8203.1,48.4,0
1.38,57.65,-5.41,-2.76,-0.122,-0.095,8239.3,8378.4,8152.2,51.4,0
1.4,55.05,-4.31,-2.85,-0.958,0.2,8209.8,8348.5,8194.5,51.4,0
1.42,52.66,-3.25,-2.91,-0.394,-0.22,8262.7,8327.3,8203.1,48.4,0
1.44,52.66,-2.2,-2.96,-0.371,0.07,8118.9,8196.2,7980.1,57.4,0
1.46,53.85,-1.12,-2.98,0.085,-0.05,8074.7,8226.1,7923.7,57.4,0
1.48,54.85,-0.03,-2.98,-0.174,0.07,8009.6,8085.3,7875.9,54.4,0
1.5,56.05,1.09,-2.96,0.211,0.05,8012.1,8028.1,7864.9,48.4,0
1.52,56.85,2.23,-2.91,0.174,0.025,8077.2,8109.1,7997.2,51.4,0
1.54,56.05,3.35,-2.85,0.662,0.375,8268.8,8303.6,8194.5,51.4,0
1.56,54.05,4.43,-2.76,-0.268,0.235,8416.1,8408.3,8335.4,51.4,0
1.58,52.26,5.48,-2.65,0.498,0.045,8380.6,8447,8231.2,48.4,0
1.6,51.26,6.5,-2.52,0.535,-0.14,8395.3,8402.1,8231.2,48.4,0
1.62,50.46,7.51,-2.37,-0.887,0.16,8281,8330.8,8163.3,57.4,0
1.64,50.66,8.53,-2.2,-0.324,0.035,8445.6,8513,8377.7,51.4,0
1.66,51.06,9.55,-2.01,0.263,0.085,8586.9,8611.6,8513.1,48.4,0
1.68,51.46,10.58,-1.79,0.254,0.13,8846,8874.7,8888,45.4,0
1.7,52.06,11.62,-1.56,-0.249,0.135,9134.7,9152.8,9122,42.3,0
1.72,51.26,12.64,-1.31,-0.948,0.39,9214.4,9263.7,9212.1,45.4,0
1.74,50.26,13.65,-1.04,0.254,-0.18,9341,9377.2,9403.8,42.3,0
1.76,49.46,14.64,-0.74,0.178,0.265,9488.3,9496.9,9516.6,42.3,0
1.78,49.07,15.62,-0.43,0.592,0.04,9585.4,9595.5,9623.8,39.3,0
1.8,49.07,16.6,-0.1,0.103,-0.06,9623.5,9649.2,9632.3,36.3,0
1.82,46.07,17.52,0.25,-0.188,-0.135,9829.8,9873.6,9857.8,36.3,0
1.84,43.68,18.4,0.62,-0.15,-0.05,10015.3,10091.8,10091.8,33.3,0
1.86,42.68,19.25,1.01,-0.038,0.305,10145.4,10223.8,10229.7,39.3,0
1.88,42.48,20.1,1.41,0.042,0.005,10225.1,10274.8,10291.6,42.3,0
1.9,41.48,20.93,1.83,-0.033,-0.085,10419.3,10442,10477.8,36.3,0
1.92,41.48,21.76,2.26,0.16,-0.08,10558,10642.7,10666.5,39.3,0
1.94,42.28,22.6,2.71,-0.023,0.02,10962,11112.6,11151.2,42.3,0
1.96,41.28,23.43,3.18,0.16,0.135,11267.9,11408.3,11515,33.3,0
1.98,40.29,24.23,3.67,0,-0.02,11674.4,11731.3,11861.8,30.2,0
2,39.49,25.02,4.17,0.408,0.095,11869.5,12004.1,12103.9,39.3,0
2.02,39.49,25.81,4.68,0.033,0.13,12093.1,12156.3,12318.3,33.3,0
2.04,38.29,26.58,5.21,-0.141,-0.315,12381.7,12434.4,12622.7,30.2,0
2.06,36.69,27.31,5.76,0.094,-0.54,12505.7,12665,12712.8,33.3,0
2.08,36.49,28.04,6.32,-0.197,0.14,12850.8,12940.4,13155.2,36.3,0
2.1,35.5,28.75,6.9,-0.601,-0.17,13278.1,13374.2,13606.1,36.3,0
2.12,33.9,29.43,7.49,-0.455,0.26,13543.4,13718.3,13873.9,36.3,0
2.14,32.7,30.09,8.09,0.155,-0.06,13976.8,14143.4,14273.9,39.3,0
2.16,33.7,30.76,8.7,0.31,-0.01,14151.1,14365.1,14496.4,45.4,0
2.18,35.7,31.47,9.33,0.131,0.03,14471.8,14615.9,14789.8,36.3,0
2.2,37.09,32.22,9.98,0.31,-0.105,14572.4,14747.9,14927.7,42.3,0
2.22,37.89,32.97,10.64,-0.146,0.2,14934.7,15055.9,15274.4,39.3,0
2.24,38.89,33.75,11.31,-0.033,0.13,15288.4,15400,15683.1,39.3,0
2.26,37.89,34.51,12,0.178,0.045,15500.8,15690.4,15857.7,42.3,0
2.28,36.1,35.23,12.71,0.141,0.1,15568.4,15669.3,15894.5,39.3,0
2.3,34.3,35.92,13.42,0.009,0.035,15488.6,15588.4,15846.7,36.3,0
2.32,32.9,36.58,14.16,-0.028,-0.145,15332.6,15459.9,15669,39.3,0
2.34,31.91,37.21,14.9,-0.225,-0.3,15288.4,15385.1,15626.7,39.3,0
2.36,31.11,37.84,15.66,-0.3,-0.09,15085.6,15209,15432,48.4,0
2.38,30.51,38.45,16.43,-0.258,-0.13,15102.9,15256.6,15420.9,42.3,0
2.4,30.51,39.06,17.21,0.052,0.2,15008.4,15160.7,15429.4,39.3,0
2.42,29.91,39.65,18,-0.085,0.095,15037.9,15070.9,15387.2,39.3,0
2.44,29.11,40.24,18.8,0.038,-0.12,14743.1,14771.7,15077.2,39.3,0
2.46,29.31,40.82,19.62,-0.479,0.165,14522.1,14607.1,14823.5,39.3,0
2.48,30.71,41.44,20.45,0.146,0.055,14256.8,14382.7,14598.1,39.3,0
2.5,30.91,42.05,21.29,-0.16,0.1,13989,14080.9,14270.9,45.4,0
2.52,29.11,42.64,22.14,-0.324,-0.075,13903.2,14008.7,14203.5,39.3,0
2.54,27.32,43.18,23.01,0.352,0.055,13808.6,13838,14141.6,36.3,0
2.56,25.72,43.7,23.88,0.324,-0.03,13726.3,13799.3,14020.3,39.3,0
2.58,24.52,44.19,24.76,-0.174,-0.05,13387.4,13455.2,13611.7,39.3,0
