time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,-0.211,0,0,0,0,195.8,226.3,-273.9,1287.7,0
0.2,-0.422,0,0,0,0,187.4,203.8,204.8,1284.9,0
0.4,-0.422,0,0,0,0,187.4,232.5,-251.5,1284.9,0
0.6,-0.211,0,0,0,0,166.3,197.7,-257.6,1287.7,0
0.8,-0.211,0,0,0,0,202.1,218.1,-235.2,1284.9,0
1,-0.422,0,0,0,0,208.4,224.3,-245.3,1282.1,0
1.2,-0.422,0,0,0,0,166.3,197.7,-241.3,1287.7,0
1.4,-0.422,0,0,0,0,187.4,218.1,-235.2,1284.9,0
1.6,-0.422,0,0,0,0,231.5,160.9,-267.8,1284.9,0
1.8,-0.422,0,0,0,0,202.1,232.5,-251.5,1284.9,0
2,-0.422,0,0,0,0,216.8,189.5,-267.8,1284.9,0
2.2,-0.422,0,0,0,0,202.1,232.5,-235.2,1284.9,0
2.4,-0.211,0,0,0,0,187.4,218.1,-218.9,1284.9,0
2.6,-0.211,0,0,0,0,181,212,-241.3,1287.7,0
2.8,0.422,0,0,0,0,202.1,218.1,-235.2,1284.9,0
3,-0.211,0,0,0,0,195.8,226.3,-241.3,1287.7,0
3.2,-0.211,0,0,0,0,187.4,232.5,-235.2,1284.9,0
3.4,-0.422,0,0,0,0,166.3,212,-225,1287.7,0
3.6,-0.422,0,0,0,0,181,212,-257.6,1287.7,0
3.8,-0.422,0,0,0,0,181,212,-241.3,1287.7,0
4,-0.211,0,0,0,0,189.4,191.6,-247.5,1290.5,0
4.2,-0.211,0,0,0,0,166.3,226.3,-225,1287.7,0
4.4,-0.211,0,0,0,0,202.1,203.8,-267.8,1284.9,0
4.6,-0.211,0,0,0,0,195.8,197.7,-257.6,1287.7,0
4.8,0,0,0,0,0,181,226.3,-225,1287.7,0
5,-0.422,0,0,0,0,166.3,226.3,-225,1287.7,0
5.2,0.211,0,0,0,0,174.7,205.9,-247.5,1290.5,0
5.4,-2.11,0,0,0,0,195.8,197.7,-241.3,1287.7,0
5.6,0,0,0,0,0,195.8,226.3,-241.3,1287.7,0
5.8,-0.844,0,0,0,0,174.7,205.9,-231.2,1290.5,0
6,-0.211,0,0,0,0,195.8,226.3,-257.6,1287.7,0
6.2,-0.211,0,0,0,0,195.8,212,-241.3,1287.7,0
6.4,-0.422,0,0,0,0,202.1,232.5,-235.2,1284.9,0
6.6,-0.422,0,0,0,0,187.4,261.1,-218.9,1284.9,0
6.8,-0.211,0,0,0,0,187.4,218.1,-235.2,1284.9,0
7,-0.422,0,0,0,0,210.5,212,-225,1287.7,0
7.2,-0.422,0,0,0,0,195.8,197.7,-241.3,1287.7,0
7.4,-0.211,0,0,0,0,202.1,203.8,-251.5,1284.9,0
7.6,-0.211,0,0,0,0,202.1,203.8,-251.5,1284.9,0
7.8,0.211,0,0,0,0,195.8,212,-241.3,1287.7,0
8,-0.211,0,0,0,0,151.6,226.3,-225,1287.7,0
8.2,-0.422,0,0,0,0,231.5,160.9,-267.8,1284.9,0
8.4,-0.422,0,0,0,0,216.8,218.1,-251.5,1284.9,0
8.6,-0.422,0,0,0,0,187.4,218.1,-235.2,1284.9,0
8.8,-0.422,0,0,0,0,181,197.7,-257.6,1287.7,0
9,-0.422,0,0,0,0,187.4,218.1,-218.9,1284.9,0
9.2,-0.633,0,0,0,0,181,212,-225,1287.7,0
9.4,0.84401,0,0,0,0,187.4,218.1,-235.2,1284.9,0
9.6,-0.211,0,0,0,0,172.7,218.1,-235.2,1284.9,0
9.8,-0.211,0,0,0,0,185.3,230.4,-222.9,1279.2,0
10,0,0,0,0,0,172.7,218.1,-235.2,1284.9,0
10.2,-0.422,0,0,0,0,202.1,218.1,-251.5,1284.9,0
10.4,-0.422,0,0,0,0,172.7,218.1,-235.2,1284.9,0
10.6,-0.422,0,0,0,0,160,205.9,-231.2,1290.5,0
10.8,-0.211,0,0,0,0,202.1,203.8,-251.5,1284.9,0
11,-0.422,0,0,0,0,202.1,218.1,-251.5,1284.9,0
11.2,-0.422,0,0,0,0,181,212,-225,1287.7,0
11.4,-0.422,0,0,0,0,202.1,218.1,-251.5,1284.9,0
11.6,-0.211,0,0,0,0,189.4,191.6,-263.8,1290.5,0
11.8,0.633,0,0,0,0,195.8,212,-241.3,1287.7,0
12,-1.477,0,0,0,0,181,212,-241.3,1287.7,0
12.2,0,0,0,0,0,181,197.7,-273.9,1287.7,0
12.4,-0.844,0,0,0,0,174.7,205.9,-247.5,1290.5,0
12.6,-0.422,0,0,0,0,195.8,212,-257.6,1287.7,0
12.8,-0.422,0,0,0,0,187.4,218.1,-235.2,1284.9,0
13,-0.422,0,0,0,0,181,197.7,-257.6,1287.7,0
13.2,-0.422,0,0,0,0,187.4,203.8,-251.5,1284.9,0
13.4,-0.422,0,0,0,0,174.7,191.6,-247.5,1290.5,0
13.6,-0.211,0,0,0,0,181,197.7,-257.6,1287.7,0
13.8,-0.422,0,0,0,0,181,226.3,-225,1287.7,0
14,-0.422,0,0,0,0,172.7,218.1,-251.5,1284.9,0
14.2,-0.211,0,0,0,0,210.5,212,-241.3,1287.7,0
14.4,-0.211,0,0,0,0,181,212,-241.3,1287.7,0
14.6,-0.633,0,0,0,0,187.4,218.1,-235.2,1284.9,0
14.8,-0.422,0,0,0,0,195.8,226.3,-241.3,1287.7,0
15,-0.422,0,0,0,0,202.1,218.1,-251.5,1284.9,0
15.2,-0.422,0,0,0,0,195.8,226.3,-225,1287.7,0
15.4,-0.422,0,0,0,0,181,226.3,-257.6,1287.7,0
