time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,0.84401,0,0,0,0,211.3,183.4,-303.2,1189.1,0
0.2,0.84401,0,0,0,0,211.3,183.4,202,1189.1,0
0.4,0.633,0,0,0,0,211.3,197.7,-254.3,1189.1,0
0.6,0.633,0,0,0,0,203,203.8,-264.4,1186.2,0
0.8,0.84401,0,0,0,0,211.3,169,-270.6,1189.1,0
1,0.633,0,0,0,0,196.6,197.7,-254.3,1189.1,0
1.2,0.84401,0,0,0,0,190.3,177.2,-260.4,1191.9,0
1.4,0.633,0,0,0,0,190.3,177.2,-260.4,1191.9,0
1.6,0.84401,0,0,0,0,205,177.2,-276.7,1191.9,0
1.8,0.633,0,0,0,0,184,171.1,-266.6,1194.7,0
2,0.84401,0,0,0,0,205,191.5,-244.1,1191.9,0
2.2,0.422,0,0,0,0,196.6,197.7,-238,1189.1,0
2.4,0.633,0,0,0,0,219.7,177.2,-260.4,1191.9,0
2.6,0.84401,0,0,0,0,184,185.4,-250.3,1194.7,0
2.8,0.422,0,0,0,0,190.3,191.5,-244.1,1191.9,0
3,0.84401,0,0,0,0,198.7,171.1,-266.6,1194.7,0
3.2,0.84401,0,0,0,0,184,171.1,-266.6,1194.7,0
3.4,0.633,0,0,0,0,198.7,185.4,-250.3,1194.7,0
3.6,0.84401,0,0,0,0,205,191.5,-260.4,1191.9,0
3.8,0.84401,0,0,0,0,205,177.2,-260.4,1191.9,0
4,0.84401,0,0,0,0,198.7,171.1,-266.6,1194.7,0
4.2,0.633,0,0,0,0,198.7,185.4,-266.6,1194.7,0
4.4,0.633,0,0,0,0,190.3,191.5,-260.4,1191.9,0
4.6,0.633,0,0,0,0,198.7,185.4,-250.3,1194.7,0
4.8,0.633,0,0,0,0,198.7,185.4,-266.6,1194.7,0
5,1.26601,0,0,0,0,192.3,164.9,-272.7,1197.5,0
5.2,0.211,0,0,0,0,192.3,179.3,-256.4,1197.5,0
5.4,0.422,0,0,0,0,198.7,185.4,-266.6,1194.7,0
5.6,0.633,0,0,0,0,192.3,164.9,-272.7,1197.5,0
5.8,0.633,0,0,0,0,211.3,183.4,-238,1189.1,0
6,0.84401,0,0,0,0,205,177.2,-260.4,1191.9,0
6.2,0.633,0,0,0,0,169.2,185.4,-250.3,1194.7,0
6.4,0.633,0,0,0,0,211.3,183.4,-270.6,1189.1,0
6.6,0.84401,0,0,0,0,190.3,177.2,-260.4,1191.9,0
6.8,0.84401,0,0,0,0,190.3,162.9,-276.7,1191.9,0
7,0.84401,0,0,0,0,181.9,183.4,-254.3,1189.1,0
7.2,0.84401,0,0,0,0,175.6,177.2,-260.4,1191.9,0
7.4,0.84401,0,0,0,0,175.6,177.2,-260.4,1191.9,0
7.6,1.05501,0,0,0,0,190.3,177.2,-244.1,1191.9,0
7.8,0.633,0,0,0,0,190.3,162.9,-276.7,1191.9,0
8,0.84401,0,0,0,0,190.3,177.2,-260.4,1191.9,0
8.2,0.84401,0,0,0,0,169.2,185.4,-266.6,1194.7,0
8.4,0.84401,0,0,0,0,205,177.2,-276.7,1191.9,0
