time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,3.8,48.97,155.48,0.07,0.16,2630.8,2722.8,2740.1,1785.8,0
0.02,-1.6,48.93,156.46,-0.218,-0.185,2617.8,2695.3,2696.9,1779.9,0
0.04,-5.99,48.81,157.43,0.14,-0.07,2544.6,2593.2,2621.7,1785.8,0
0.06,-9.79,48.62,158.41,-0.021,0.095,2508.1,2599.8,2628.5,1788.7,0
0.08,-12.98,48.36,159.37,-0.128,-0.155,2530.3,2564.4,2621.7,1785.8,0
0.1,-15.98,48.04,160.33,-0.111,0.02,2472.8,2607.6,2606.9,1785.8,0
0.12,-18.18,47.68,161.29,0.016,-0.01,2551.1,2643,2643.3,1788.7,0
0.14,-19.97,47.28,162.23,0.016,-0.085,2565.5,2628.6,2672.9,1788.7,0
0.16,-21.37,46.85,163.17,-0.169,-0.055,2551.1,2628.6,2628.5,1788.7,0
0.18,-22.17,46.41,164.1,-0.045,-0.095,2544.6,2607.6,2666.1,1785.8,0
0.2,-21.77,45.97,165.02,0.021,-0.005,2465,2585.4,2584,1788.7,0
0.22,-20.77,45.55,165.93,0.066,0.005,2472.8,2550,2606.9,1785.8,0
0.24,-20.57,45.14,166.83,0.23,-0.08,2480.7,2543.5,2540.9,1782.8,0
0.26,-21.57,44.71,167.73,-0.033,-0.01,2509.4,2572.3,2629.7,1782.8,0
0.28,-24.97,44.21,168.61,0.189,0.01,2566.8,2615.5,2659.3,1782.8,0
0.3,-29.36,43.62,169.48,0.004,-0.075,2508.1,2614.2,2658.1,1788.7,0
0.32,-35.15,42.92,170.34,0.177,-0.015,2495,2557.9,2629.7,1782.8,0
0.34,-40.75,42.11,171.18,-0.07,-0.07,2408.9,2500.3,2526.1,1782.8,0
0.36,-45.74,41.19,172.01,-0.029,-0.045,2337.1,2399.5,2422.4,1782.8,0
0.38,-50.13,40.19,172.81,-0.111,0.02,2273.1,2335.3,2415.6,1779.9,0
0.4,-53.73,39.11,173.59,-0.379,-0.02,2287.5,2349.7,2386,1779.9,0
0.42,-57.13,37.97,174.35,-0.103,-0.095,2309.7,2372,2394.1,1776.9,0
