time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,-21.372,0,0,0,0,2651.3,2713.6,2712.5,1600.4,0
0.2,-23.37,0,0,0,0,2623.9,2671.7,2669.4,1594.5,0
0.4,-26.366,0,0,0,0,2725.8,2730.6,2744.6,1588.7,0
0.6,4.59404,0,0,0,0,2885.1,2976.7,2953.1,1582.8,0
0.8,48.537,0,0,0,0,2939.9,3060.5,3024.7,1594.5,0
1,48.537,0,0,0,0,2938.5,3016,3023.4,1600.4,0
1.2,6.79119,0,0,0,0,2843.2,2920.4,2925.4,1609.2,0
1.4,-12.384,0,0,0,0,2566.5,2585.3,2580.5,1594.5,0
1.6,-34.355,0,0,0,0,2603.1,2665.2,2662.6,1591.6,0
1.8,-18.176,0,0,0,0,2740.2,2817,2833.5,1588.7,0
2,-3.7951,0,0,0,0,2735,2811.8,2813.1,1579.8,0
2.2,11.1855,0,0,0,0,2733.6,2839.3,2797.1,1585.7,0
2.4,-10.986,0,0,0,0,2582.2,2615.4,2626.2,1588.7,0
2.6,-47.139,0,0,0,0,2569.2,2659.9,2627.4,1582.8,0
2.8,-53.93,0,0,0,0,2420.4,2481.9,2503.5,1573.9,0
3,-49.735,0,0,0,0,2429.6,2476.6,2483.1,1565.1,0
3.2,-38.35,0,0,0,0,2587.5,2649.4,2631.2,1565.1,0
3.4,-42.545,0,0,0,0,2458.3,2548.6,2542.3,1565.1,0
3.6,-24.169,0,0,0,0,2616.3,2692.6,2720,1565.1,0
3.8,-45.341,0,0,0,0,2077.1,2137.6,2149.4,1568.1,0
4,-126.24,0,0,0,0,1893.1,1953,1959.4,1556.3,0
4.2,-40.747,0,0,0,0,1557.6,1587.7,1583.7,1547.5,0
4.4,-43.144,0,0,0,0,991,976.3,970,1544.5,0
4.6,20.5733,0,0,0,0,407.5,376.7,353.7,1553.4,0
4.8,-34.555,0,0,0,0,15.6,-88,-78.8,1603.4,0
5,-72.706,0,0,0,0,194.4,120.2,135.3,1606.3,0
5.2,-57.326,0,0,0,0,339.3,294.3,314.2,1600.4,0
5.4,25.3671,0,0,0,0,749.3,734.1,721.9,1597.5,0
5.6,81.694,0,0,0,0,972.5,986.8,966.8,1594.5,0
5.8,82.493,0,0,0,0,938.6,924,916.9,1585.7,0
6,37.9508,0,0,0,0,702.3,701.4,643.6,1582.8,0
6.2,-6.9909,0,0,0,0,775.5,789.1,718.9,1576.9,0
6.4,-31.16,0,0,0,0,745.4,687,732.4,1582.8,0
6.6,23.3697,0,0,0,0,873.3,757.7,849.6,1588.7,0
6.8,76.1013,0,0,0,0,981.7,952.8,976.1,1585.7,0
7,59.7225,0,0,0,0,1034,1033.9,1044.6,1576.9,0
7.2,37.5513,0,0,0,0,719.4,675.2,660.9,1571,0
7.4,-4.7938,0,0,0,0,467.4,393.8,401.2,1573.9,0
7.6,-4.3943,0,0,0,0,595.3,579.7,592.4,1579.8,0
7.8,8.98834,0,0,0,0,874.7,802.2,806.5,1582.8,0
8,13.1829,0,0,0,0,1018.3,1032.6,1043.3,1582.8,0
8.2,8.7886,0,0,0,0,1765,1781.5,1798.4,1582.8,0
8.4,21.1725,0,0,0,0,2720.6,2768.6,2768.7,1579.8,0
8.6,28.9624,0,0,0,0,2949,3055.3,3048.7,1585.7,0
8.8,77.6992,0,0,0,0,3198.3,3319.7,3320.8,1594.5,0
9,77.4995,0,0,0,0,3066.4,3173.1,3155.4,1606.3,0
9.2,29.7614,0,0,0,0,2728.3,2762,2792.1,1609.2,0
9.4,-25.367,0,0,0,0,2621.3,2683.5,2681.7,1606.3,0
9.6,-26.566,0,0,0,0,2660.5,2722.8,2736.6,1591.6,0
9.8,3.99482,0,0,0,0,2848.5,2940.1,2959.9,1585.7,0
10,46.3399,0,0,0,0,2939.9,3074.9,3054.3,1594.5,0
10.2,51.3334,0,0,0,0,2916.3,3022.6,3015.4,1603.4,0
10.4,7.98964,0,0,0,0,2822.3,2885.1,2874.2,1606.3,0
10.6,-8.1894,0,0,0,0,2579.5,2612.8,2608.9,1600.4,0
10.8,-37.951,0,0,0,0,2603.1,2679.6,2721.8,1591.6,0
11,-23.37,0,0,0,0,2792.4,2869.4,2901.9,1579.8,0
11.2,1.99741,0,0,0,0,2719.3,2810.5,2811.9,1585.7,0
11.4,11.7847,0,0,0,0,2740.2,2831.4,2863.1,1588.7,0
11.6,-13.982,0,0,0,0,2631.8,2694,2692.2,1591.6,0
11.8,-48.138,0,0,0,0,2526.1,2602.3,2583,1582.8,0
12,-50.934,0,0,0,0,2362.9,2409.9,2444.2,1573.9,0
12.2,-51.134,0,0,0,0,2429.6,2505.4,2497.9,1565.1,0
12.4,-40.747,0,0,0,0,2624.1,2657.3,2668.8,1562.2,0
12.6,-39.748,0,0,0,0,2451.8,2484.5,2535.5,1562.2,0
12.8,-27.764,0,0,0,0,2624.1,2700.5,2713.2,1562.2,0
13,-38.35,0,0,0,0,2107.1,2182.1,2195,1562.2,0
13.2,-126.84,0,0,0,0,1872.2,1932,1937.8,1553.4,0
