time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,64.62,10.18,20.2,-0.045,-0.05,2677.9,2698,2684.6,1768.1,0
0.02,67.01,11.52,20.43,0.016,-0.015,2730.1,2764.7,2767.9,1759.3,0
0.04,68.61,12.89,20.69,-0.016,-0.02,2719.6,2754.3,2742.6,1774,0
0.06,69.01,14.28,20.98,-0.053,-0.02,2740.5,2789.6,2779,1776.9,0
0.08,68.21,15.64,21.29,-0.004,-0.065,2826.7,2847.2,2838.2,1776.9,0
0.1,66.41,16.97,21.63,-0.099,-0.085,2783.6,2832.8,2793.8,1776.9,0
0.12,65.02,18.27,21.99,0.004,-0.16,2790.1,2810.6,2785.8,1779.9,0
0.14,64.42,19.56,22.39,-0.033,-0.075,2681.7,2745.1,2733.3,1782.8,0
0.16,65.02,20.86,22.8,-0.086,-0.025,2703.9,2753,2741.3,1779.9,0
0.18,68.21,22.22,23.25,0.049,-0.06,2688.2,2766,2740.1,1785.8,0
0.2,72.61,23.67,23.72,-0.049,-0.035,2717,2737.2,2725.3,1785.8,0
0.22,77.6,25.22,24.23,-0.049,-0.105,2788.8,2838,2799.3,1785.8,0
0.24,81.99,26.86,24.76,-0.021,-0.08,2852.7,2902.2,2850.5,1788.7,0
0.26,84.99,28.56,25.33,-0.004,-0.045,2867.1,2945.4,2939.4,1788.7,0
0.28,85.39,30.27,25.94,-0.021,-0.03,2937.5,2987.3,2982.5,1794.6,0
0.3,82.99,31.93,26.58,-0.049,-0.075,2980.6,3044.9,3012.1,1794.6,0
0.32,78.4,33.5,27.25,-0.037,-0.075,2995,3001.7,2982.5,1794.6,0
0.34,73.01,34.96,27.95,-0.058,-0.045,2908.8,2972.9,2908.5,1794.6,0
0.36,68.21,36.32,28.67,-0.004,-0.03,2837,2872.1,2834.5,1794.6,0
0.38,63.82,37.6,29.43,-0.086,-0.105,2741.7,2762.1,2751.2,1803.4,0
0.4,60.42,38.81,30.2,-0.062,-0.02,2698.6,2733.3,2721.6,1803.4,0
0.42,56.63,39.94,31,-0.078,-0.085,2712.9,2733.3,2706.8,1803.4,0
0.44,51.43,40.97,31.82,0.082,-0.02,2756,2790.9,2751.2,1803.4,0
0.46,44.44,41.86,32.66,-0.053,-0.095,2784.7,2848.5,2810.4,1803.4,0
0.48,35.25,42.56,33.51,-0.078,-0.06,2840.9,2876,2868.4,1809.3,0
0.5,25.47,43.07,34.37,-0.091,-0.05,2769,2760.8,2720.3,1809.3,0
