time(sec),acc(in/s/s),vel(in/s),pos(in),lateral_acc_1,lateral_acc_2,Load_1(lbs),Load_2(lbs),Load_3(lbs),Pressure(psi),Temperature(F)
0,-125.31,0,0,0,0,4402,4250,4309.8,480.7,0
0.2,-125.91,0,0,0,0,4222,4141.9,4136.6,492.8,0
0.4,-119.12,0,0,0,0,4135.1,4008.9,4054.1,486.8,0
0.6,-81.809,0,0,0,0,3648.8,3530.2,3546.8,486.8,0
0.8,-109.74,0,0,0,0,3951.7,3762.9,3850.8,483.8,0
1,-34.719,0,0,0,0,4680.4,4697.1,4645.9,486.8,0
1.2,-33.522,0,0,0,0,5838,5752.6,5753.1,483.8,0
1.4,26.3385,0,0,0,0,6928.5,6919.5,6908.6,483.8,0
1.6,81.2104,0,0,0,0,7665.3,7712.4,7585,483.8,0
1.8,77.0202,0,0,0,0,7856.9,7862,7782.3,483.8,0
2,86.9969,0,0,0,0,7360.8,7388.2,7264.9,492.8,0
2.2,42.1017,0,0,0,0,7067.7,7120.6,6985.1,486.8,0
2.4,74.0272,0,0,0,0,6964.5,7045.8,6872.3,486.8,0
2.6,42.5008,0,0,0,0,6926.9,6947.7,6836.1,489.8,0
2.8,46.0924,0,0,0,0,7236.4,7306.8,7146.1,489.8,0
3,49.4845,0,0,0,0,7450.8,7524.5,7379.6,486.8,0
3.2,43.2989,0,0,0,0,7996.1,8123,7915.1,486.8,0
3.4,32.5241,0,0,0,0,8881.8,8977.4,8819,480.7,0
3.6,50.0831,0,0,0,0,10037.9,10240.7,9966.4,483.8,0
3.8,91.5862,0,0,0,0,9956,10172.5,9916.1,486.8,0
4,42.7003,0,0,0,0,9029.2,9067.1,8974,480.7,0
4.2,27.1366,0,0,0,0,8299,8385.6,8261.4,483.8,0
4.4,28.1343,0,0,0,0,8233.4,8319.1,8199,480.7,0
4.6,24.9418,0,0,0,0,8654.2,8716.4,8629.8,477.7,0
4.8,24.7422,0,0,0,0,8831,8940.8,8841.2,477.7,0
5,3.79115,0,0,0,0,8646,8753,8635.8,480.7,0
5.2,29.9301,0,0,0,0,7997.6,8139.6,7987.6,480.7,0
5.4,-25.74,0,0,0,0,7075.8,7114,7021.3,483.8,0
5.6,-44.297,0,0,0,0,6738.5,6711.8,6685.2,477.7,0
5.8,-55.67,0,0,0,0,6820.3,6765,6763.7,474.7,0
6,-48.287,0,0,0,0,6789.3,6838.1,6761.7,480.7,0
6.2,-68.44,0,0,0,0,6193.2,6188.1,6149.7,477.7,0
6.4,-104.76,0,0,0,0,5625.1,5611.3,5578,480.7,0
6.6,-86.598,0,0,0,0,4894.8,4825.1,4794.9,483.8,0
6.8,-129.7,0,0,0,0,4336.4,4168.5,4247.4,477.7,0
7,-103.56,0,0,0,0,4115.4,3974,4021.9,477.7,0
7.2,-89.79,0,0,0,0,3643.8,3435.5,3542.8,477.7,0
7.4,-106.75,0,0,0,0,4158,3972.3,4062.1,483.8,0
7.6,-22.348,0,0,0,0,4924.3,4899.9,4865.3,483.8,0
7.8,-32.325,0,0,0,0,6023,5985.3,5986.6,480.7,0
8,33.1227,0,0,0,0,7000.6,7052.5,6962.9,489.8,0
8.2,68.8393,0,0,0,0,7606.3,7637.6,7556.8,483.8,0
8.4,82.4076,0,0,0,0,7997.6,7945.1,7917.2,480.7,0
8.6,86.3983,0,0,0,0,7370.6,7338.4,7260.9,483.8,0
8.8,38.9092,0,0,0,0,6994,7030.9,6900.5,486.8,0
9,69.6374,0,0,0,0,7098.7,7062.5,6973,480.7,0
9.2,43.0994,0,0,0,0,7095.6,7163.8,7039.4,492.8,0
9.4,57.4658,0,0,0,0,7290.3,7361.7,7226.7,480.7,0
9.6,31.7259,0,0,0,0,7547.4,7577.8,7472.3,483.8,0
9.8,53.6747,0,0,0,0,8210.5,8280.9,8190.9,483.8,0
