Gassy Well w/separator  August 1996
2x5i06.csv,  Start Time = 30 sec, Duration = 30 sec
08/04/96
0:15:00 AM
time(sec),     acc(in/s/s),  load_1(lbf),  load_2(lbf),  load_3(lbf),  Pressure(psi)
 30 ,          3.70277 ,     941 ,         1011.9 ,      1043.6 ,      1604.9 
 30.2 ,        1.02855 ,     860.6 ,       962.7 ,       992.8 ,       1607.7 
 30.4 ,       -14.811 ,      781.2 ,       845 ,         871.5 ,       1604.9 
 30.6 ,       -13.371 ,      650.4 ,       650.2 ,       728.1 ,       1604.9 
 30.8 ,       -11.314 ,      491.6 ,       484.2 ,       542.8 ,       1599.3 
 31 ,          5.96558 ,     337.4 ,       280.9 ,       376.2 ,       1607.7 
 31.2 ,        .61713 ,      176.5 ,       99 ,          188.7 ,       1613.4 
 31.4 ,       -3.2914 ,      46.8 ,       -108.7 ,       32 ,          1607.7 
 31.6 ,       -8.4341 ,     -185.7 ,      -400.9 ,      -269.1 ,       1607.7 
 31.8 ,        3.49707 ,    -391.3 ,      -736.8 ,      -558.1 ,       1619.1 
 32 ,         -6.9941 ,     -325.3 ,      -715.5 ,      -593.4 ,       1616.2 
 32.2 ,       -18.514 ,     -289.5 ,      -750.8 ,      -572.4 ,       1619.1 
 32.4 ,       -17.485 ,     -288.5 ,      -708 ,        -585.7 ,       1613.4 
 32.6 ,        4.93703 ,    -301.9 ,      -693 ,        -541.5 ,       1607.7 
 32.8 ,        81.6668 ,    -117.7 ,      -460.9 ,      -316.5 ,       1593.6 
 33 ,          8.84552 ,     328.6 ,       244.6 ,       338.7 ,       1616.2 
 33.2 ,        43.8162 ,     784.7 ,       806.6 ,       846.1 ,       1624.7 
 33.4 ,        22.6281 ,     1054.1 ,      1217.6 ,      1226.6 ,      1621.9 
 33.6 ,        15.6339 ,     1374.9 ,      1594.3 ,      1500.2 ,      1616.2 
 33.8 ,        57.5987 ,     1444.3 ,      1702.5 ,      1597.3 ,      1633.2 
 34 ,          73.8498 ,     1522.7 ,      1763.6 ,      1674.5 ,      1641.7 
 34.2 ,        59.2444 ,     1579.7 ,      1762.6 ,      1745 ,        1647.4 
 34.4 ,       -83.93 ,       1344.7 ,      1426.3 ,      1800.2 ,      1621.9 
 34.6 ,       -104.5 ,       1386.9 ,      1619.7 ,      1153.9 ,      1590.8 
 34.8 ,       -85.37 ,       1266 ,        1448.4 ,      1407.6 ,      1576.6 
 35 ,         -31.885 ,      1301.8 ,      1538.3 ,      1514.6 ,      1579.4 
 35.2 ,       -.4114 ,       1335.5 ,      1570.5 ,      1533.3 ,      1593.6 
 35.4 ,       -18.72 ,       1347.9 ,      1554.6 ,      1459.4 ,      1604.9 
 35.6 ,       -26.125 ,      1313.2 ,      1521.3 ,      1496.9 ,      1596.4 
 35.8 ,       -108.2 ,       1062.6 ,      1239.7 ,      1206.9 ,      1576.6 
 36 ,         -127.95 ,      557.2 ,       588.8 ,       636.6 ,       1559.6 
 36.2 ,       -21.188 ,     -155.9 ,      -386.2 ,      -296.6 ,       1565.3 
 36.4 ,       -2.4685 ,     -398.7 ,      -771.8 ,      -637.6 ,       1658.7 
 36.6 ,       -48.136 ,     -371.7 ,      -815.6 ,      -639.8 ,       1670 
 36.8 ,       -78.787 ,     -567.4 ,      -1016.9 ,     -789.8 ,       1667.2 
 37 ,         -66.65 ,      -557.5 ,      -923.9 ,      -736.9 ,       1653 
 37.2 ,        22.8338 ,    -460.4 ,      -830.9 ,      -698.2 ,       1638.9 
 37.4 ,        55.5416 ,    -465 ,        -835.3 ,      -587.9 ,       1624.7 
 37.6 ,        93.8036 ,    -564.6 ,      -624.5 ,      -571.3 ,       1613.4 
 37.8 ,        39.702 ,     -521 ,        -721.9 ,      -528.3 ,       1613.4 
 38 ,         -5.7599 ,     -384.5 ,      -758.2 ,      -580.2 ,       1621.9 
 38.2 ,       -13.988 ,     -414.6 ,      -801 ,        -566.9 ,       1627.6 
 38.4 ,        13.7826 ,    -392.3 ,      -821.3 ,      -473.2 ,       1624.7 
 38.6 ,        68.0899 ,    -375.7 ,      -763.6 ,      -442.3 ,       1613.4 
 38.8 ,        44.2276 ,    -353.3 ,      -770.1 ,      -477.6 ,       1610.6 
 39 ,          50.3989 ,    -329.9 ,      -775.5 ,      -468.7 ,       1602.1 
