Gassy Well w/separator  August 1996
5x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     pos(in)
 0 ,           50.6 
 .02 ,         49.67 
 .04 ,         48.75 
 .06 ,         47.84 
 .08 ,         46.95 
 .1 ,          46.06 
 .12 ,         45.19 
 .14 ,         44.33 
 .16 ,         43.48 
 .18 ,         42.63 
 .2 ,          41.79 
 .22 ,         40.96 
 .24 ,         40.12 
 .26 ,         39.3 
 .28 ,         38.48 
 .3 ,          37.67 
 .32 ,         36.88 
 .34 ,         36.09 
 .36 ,         35.3 
 .38 ,         34.53 
 .4 ,          33.76 
 .42 ,         32.99 
 .44 ,         32.23 
 .46 ,         31.47 
 .48 ,         30.72 
 .5 ,          29.98 
 .52 ,         29.25 
 .54 ,         28.53 
 .56 ,         27.83 
 .58 ,         27.13 
 .6 ,          26.46 
 .62 ,         25.79 
 .64 ,         25.13 
 .66 ,         24.48 
 .68 ,         23.84 
 .7 ,          23.21 
 .72 ,         22.6 
 .74 ,         21.99 
 .76 ,         21.4 
 .78 ,         20.83 
 .8 ,          20.27 
 .82 ,         19.74 
 .84 ,         19.22 
 .86 ,         18.73 
 .88 ,         18.25 
 .9 ,          17.79 
 .92 ,         17.35 
 .94 ,         16.92 
 .96 ,         16.51 
 .98 ,         16.12 
 1 ,           15.74 
 1.02 ,        15.38 
 1.04 ,        15.03 
 1.06 ,        14.7 
 1.08 ,        14.39 
 1.1 ,         14.1 
 1.12 ,        13.82 
 1.14 ,        13.56 
 1.16 ,        13.31 
 1.18 ,        13.07 
 1.2 ,         12.85 
 1.22 ,        12.63 
 1.24 ,        12.43 
 1.26 ,        12.23 
 1.28 ,        12.04 
 1.3 ,         11.85 
 1.32 ,        11.68 
 1.34 ,        11.52 
 1.36 ,        11.36 
 1.38 ,        11.22 
 1.4 ,         11.09 
 1.42 ,        10.96 
 1.44 ,        10.84 
 1.46 ,        10.73 
 1.48 ,        10.62 
 1.5 ,         10.51 
 1.52 ,        10.41 
 1.54 ,        10.31 
 1.56 ,        10.21 
 1.58 ,        10.12 
 1.6 ,         10.03 
 1.62 ,        9.94 
 1.64 ,        9.86 
 1.66 ,        9.79 
 1.68 ,        9.72 
 1.7 ,         9.66 
 1.72 ,        9.6 
 1.74 ,        9.55 
 1.76 ,        9.51 
 1.78 ,        9.47 
 1.8 ,         9.43 
 1.82 ,        9.41 
 1.84 ,        9.39 
 1.86 ,        9.38 
 1.88 ,        9.38 
 1.9 ,         9.39 
 1.92 ,        9.41 
 1.94 ,        9.44 
 1.96 ,        9.49 
 1.98 ,        9.54 
 2 ,           9.59 
 2.02 ,        9.66 
 2.04 ,        9.73 
 2.06 ,        9.81 
 2.08 ,        9.9 
 2.1 ,         10 
 2.12 ,        10.11 
 2.14 ,        10.24 
 2.16 ,        10.38 
 2.18 ,        10.54 
 2.2 ,         10.72 
 2.22 ,        10.92 
 2.24 ,        11.13 
 2.26 ,        11.35 
 2.28 ,        11.59 
 2.3 ,         11.83 
 2.32 ,        12.08 
 2.34 ,        12.34 
 2.36 ,        12.6 
 2.38 ,        12.86 
 2.4 ,         13.13 
 2.42 ,        13.41 
 2.44 ,        13.69 
 2.46 ,        13.97 
 2.48 ,        14.26 
 2.5 ,         14.56 
 2.52 ,        14.85 
 2.54 ,        15.16 
 2.56 ,        15.47 
 2.58 ,        15.79 
 2.6 ,         16.11 
 2.62 ,        16.44 
 2.64 ,        16.78 
 2.66 ,        17.14 
 2.68 ,        17.5 
 2.7 ,         17.88 
 2.72 ,        18.27 
 2.74 ,        18.69 
 2.76 ,        19.11 
 2.78 ,        19.56 
 2.8 ,         20.02 
 2.82 ,        20.5 
 2.84 ,        21 
 2.86 ,        21.52 
 2.88 ,        22.06 
 2.9 ,         22.61 
 2.92 ,        23.18 
 2.94 ,        23.77 
 2.96 ,        24.37 
 2.98 ,        24.98 
 3 ,           25.61 
 3.02 ,        26.26 
 3.04 ,        26.92 
 3.06 ,        27.59 
 3.08 ,        28.28 
 3.1 ,         28.98 
 3.12 ,        29.69 
 3.14 ,        30.42 
 3.16 ,        31.15 
 3.18 ,        31.9 
 3.2 ,         32.66 
 3.22 ,        33.42 
 3.24 ,        34.2 
 3.26 ,        34.98 
 3.28 ,        35.77 
 3.3 ,         36.57 
 3.32 ,        37.38 
 3.34 ,        38.19 
 3.36 ,        39.01 
 3.38 ,        39.83 
 3.4 ,         40.66 
 3.42 ,        41.49 
 3.44 ,        42.31 
 3.46 ,        43.14 
 3.48 ,        43.97 
 3.5 ,         44.79 
 3.52 ,        45.61 
 3.54 ,        46.44 
 3.56 ,        47.26 
 3.58 ,        48.08 
 3.6 ,         48.91 
 3.62 ,        49.73 
 3.64 ,        50.56 
