Gassy Well w/separator  August 1996
3x5i03.csv,  Start Time = 0 sec, Duration = 59 sec
08/04/96
0:00:00 AM
time(sec),     Pressure(psi)
 0 ,           1529.8 
 .02 ,         1515.1 
 .04 ,         1523.9 
 .06 ,         1523.9 
 .08 ,         1523.9 
 .1 ,          1523.9 
 .12 ,         1526.9 
 .14 ,         1526.9 
 .16 ,         1521 
 .18 ,         1523.9 
 .2 ,          1523.9 
 .22 ,         1521 
 .24 ,         1521 
 .26 ,         1521 
 .28 ,         1523.9 
 .3 ,          1521 
 .32 ,         1515.1 
 .34 ,         1521 
 .36 ,         1521 
 .38 ,         1518 
 .4 ,          1515.1 
 .42 ,         1515.1 
 .44 ,         1518 
 .46 ,         1515.1 
 .48 ,         1515.1 
 .5 ,          1515.1 
 .52 ,         1512.2 
 .54 ,         1512.2 
 .56 ,         1512.2 
 .58 ,         1515.1 
 .6 ,          1512.2 
 .62 ,         1515.1 
 .64 ,         1512.2 
 .66 ,         1515.1 
 .68 ,         1512.2 
 .7 ,          1512.2 
 .72 ,         1509.2 
 .74 ,         1509.2 
 .76 ,         1512.2 
 .78 ,         1509.2 
 .8 ,          1506.3 
 .82 ,         1506.3 
 .84 ,         1506.3 
 .86 ,         1509.2 
 .88 ,         1500.4 
 .9 ,          1509.2 
 .92 ,         1509.2 
 .94 ,         1506.3 
 .96 ,         1509.2 
 .98 ,         1506.3 
 1 ,           1506.3 
 1.02 ,        1506.3 
 1.04 ,        1512.2 
 1.06 ,        1512.2 
 1.08 ,        1506.3 
 1.1 ,         1506.3 
 1.12 ,        1509.2 
 1.14 ,        1503.3 
 1.16 ,        1506.3 
 1.18 ,        1509.2 
 1.2 ,         1506.3 
 1.22 ,        1506.3 
 1.24 ,        1503.3 
 1.26 ,        1503.3 
 1.28 ,        1503.3 
 1.3 ,         1503.3 
 1.32 ,        1503.3 
 1.34 ,        1503.3 
 1.36 ,        1503.3 
 1.38 ,        1506.3 
 1.4 ,         1500.4 
 1.42 ,        1500.4 
 1.44 ,        1497.5 
 1.46 ,        1503.3 
 1.48 ,        1500.4 
 1.5 ,         1497.5 
 1.52 ,        1497.5 
 1.54 ,        1494.5 
 1.56 ,        1491.6 
 1.58 ,        1494.5 
 1.6 ,         1500.4 
 1.62 ,        1497.5 
 1.64 ,        1494.5 
 1.66 ,        1491.6 
 1.68 ,        1491.6 
 1.7 ,         1491.6 
 1.72 ,        1491.6 
 1.74 ,        1491.6 
 1.76 ,        1497.5 
 1.78 ,        1494.5 
 1.8 ,         1491.6 
 1.82 ,        1491.6 
 1.84 ,        1497.5 
 1.86 ,        1491.6 
 1.88 ,        1491.6 
 1.9 ,         1491.6 
 1.92 ,        1488.6 
 1.94 ,        1491.6 
 1.96 ,        1494.5 
 1.98 ,        1491.6 
 2 ,           1491.6 
 2.02 ,        1497.5 
 2.04 ,        1497.5 
 2.06 ,        1494.5 
 2.08 ,        1506.3 
 2.1 ,         1506.3 
 2.12 ,        1509.2 
 2.14 ,        1509.2 
 2.16 ,        1512.2 
 2.18 ,        1512.2 
 2.2 ,         1512.2 
 2.22 ,        1515.1 
 2.24 ,        1515.1 
 2.26 ,        1518 
 2.28 ,        1521 
 2.3 ,         1523.9 
 2.32 ,        1518 
 2.34 ,        1518 
 2.36 ,        1518 
 2.38 ,        1526.9 
 2.4 ,         1526.9 
 2.42 ,        1523.9 
 2.44 ,        1529.8 
 2.46 ,        1529.8 
 2.48 ,        1526.9 
 2.5 ,         1526.9 
 2.52 ,        1529.8 
 2.54 ,        1526.9 
 2.56 ,        1535.7 
 2.58 ,        1526.9 
 2.6 ,         1526.9 
 2.62 ,        1526.9 
 2.64 ,        1529.8 
 2.66 ,        1526.9 
 2.68 ,        1532.8 
 2.7 ,         1529.8 
 2.72 ,        1532.8 
 2.74 ,        1529.8 
 2.76 ,        1529.8 
 2.78 ,        1529.8 
 2.8 ,         1526.9 
 2.82 ,        1529.8 
 2.84 ,        1532.8 
 2.86 ,        1529.8 
 2.88 ,        1529.8 
 2.9 ,         1526.9 
 2.92 ,        1526.9 
 2.94 ,        1532.8 
 2.96 ,        1529.8 
 2.98 ,        1529.8 
 3 ,           1529.8 
 3.02 ,        1529.8 
 3.04 ,        1532.8 
 3.06 ,        1529.8 
 3.08 ,        1526.9 
 3.1 ,         1526.9 
 3.12 ,        1529.8 
 3.14 ,        1529.8 
 3.16 ,        1526.9 
 3.18 ,        1526.9 
 3.2 ,         1526.9 
 3.22 ,        1526.9 
 3.24 ,        1526.9 
 3.26 ,        1523.9 
 3.28 ,        1529.8 
 3.3 ,         1529.8 
 3.32 ,        1526.9 
 3.34 ,        1526.9 
 3.36 ,        1526.9 
 3.38 ,        1523.9 
 3.4 ,         1523.9 
 3.42 ,        1526.9 
 3.44 ,        1532.8 
 3.46 ,        1526.9 
 3.48 ,        1529.8 
 3.5 ,         1526.9 
 3.52 ,        1523.9 
 3.54 ,        1529.8 
 3.56 ,        1523.9 
 3.58 ,        1529.8 
 3.6 ,         1526.9 
 3.62 ,        1526.9 
 3.64 ,        1526.9 
 3.66 ,        1526.9 
 3.68 ,        1532.8 
 3.7 ,         1529.8 
 3.72 ,        1529.8 
 3.74 ,        1529.8 
 3.76 ,        1529.8 
 3.78 ,        1526.9 
 3.8 ,         1532.8 
 3.82 ,        1532.8 
 3.84 ,        1529.8 
 3.86 ,        1529.8 
 3.88 ,        1532.8 
 3.9 ,         1535.7 
 3.92 ,        1538.6 
 3.94 ,        1535.7 
 3.96 ,        1535.7 
 3.98 ,        1532.8 
 4 ,           1532.8 
 4.02 ,        1532.8 
 4.04 ,        1532.8 
 4.06 ,        1532.8 
 4.08 ,        1538.6 
 4.1 ,         1535.7 
 4.12 ,        1532.8 
 4.14 ,        1532.8 
 4.16 ,        1538.6 
 4.18 ,        1535.7 
 4.2 ,         1535.7 
 4.22 ,        1532.8 
 4.24 ,        1538.6 
 4.26 ,        1538.6 
 4.28 ,        1532.8 
 4.3 ,         1532.8 
 4.32 ,        1532.8 
 4.34 ,        1529.8 
 4.36 ,        1535.7 
 4.38 ,        1532.8 
 4.4 ,         1529.8 
 4.42 ,        1529.8 
 4.44 ,        1535.7 
 4.46 ,        1535.7 
 4.48 ,        1529.8 
 4.5 ,         1529.8 
 4.52 ,        1526.9 
 4.54 ,        1529.8 
 4.56 ,        1532.8 
 4.58 ,        1523.9 
 4.6 ,         1526.9 
 4.62 ,        1523.9 
 4.64 ,        1523.9 
 4.66 ,        1523.9 
 4.68 ,        1526.9 
 4.7 ,         1526.9 
 4.72 ,        1523.9 
 4.74 ,        1523.9 
 4.76 ,        1526.9 
 4.78 ,        1523.9 
 4.8 ,         1523.9 
 4.82 ,        1529.8 
 4.84 ,        1526.9 
 4.86 ,        1523.9 
 4.88 ,        1523.9 
 4.9 ,         1529.8 
 4.92 ,        1523.9 
 4.94 ,        1523.9 
 4.96 ,        1526.9 
 4.98 ,        1526.9 
 5 ,           1523.9 
 5.02 ,        1521 
 5.04 ,        1529.8 
 5.06 ,        1523.9 
 5.08 ,        1523.9 
 5.1 ,         1523.9 
 5.12 ,        1529.8 
 5.14 ,        1526.9 
 5.16 ,        1523.9 
 5.18 ,        1523.9 
 5.2 ,         1526.9 
 5.22 ,        1523.9 
 5.24 ,        1523.9 
 5.26 ,        1526.9 
 5.28 ,        1523.9 
 5.3 ,         1523.9 
 5.32 ,        1523.9 
 5.34 ,        1526.9 
 5.36 ,        1523.9 
 5.38 ,        1521 
 5.4 ,         1521 
 5.42 ,        1523.9 
 5.44 ,        1523.9 
 5.46 ,        1523.9 
 5.48 ,        1523.9 
 5.5 ,         1521 
 5.52 ,        1523.9 
 5.54 ,        1523.9 
 5.56 ,        1521 
 5.58 ,        1521 
 5.6 ,         1521 
 5.62 ,        1521 
 5.64 ,        1521 
 5.66 ,        1529.8 
 5.68 ,        1523.9 
 5.7 ,         1523.9 
 5.72 ,        1521 
 5.74 ,        1521 
 5.76 ,        1521 
 5.78 ,        1521 
 5.8 ,         1521 
 5.82 ,        1523.9 
 5.84 ,        1521 
 5.86 ,        1523.9 
 5.88 ,        1523.9 
 5.9 ,         1521 
 5.92 ,        1521 
 5.94 ,        1521 
 5.96 ,        1523.9 
 5.98 ,        1523.9 
 6 ,           1521 
 6.02 ,        1521 
 6.04 ,        1526.9 
 6.06 ,        1523.9 
 6.08 ,        1523.9 
 6.1 ,         1523.9 
 6.12 ,        1523.9 
 6.14 ,        1526.9 
 6.16 ,        1523.9 
 6.18 ,        1532.8 
 6.2 ,         1529.8 
 6.22 ,        1529.8 
 6.24 ,        1529.8 
 6.26 ,        1526.9 
 6.28 ,        1532.8 
 6.3 ,         1529.8 
 6.32 ,        1529.8 
 6.34 ,        1535.7 
 6.36 ,        1535.7 
 6.38 ,        1535.7 
 6.4 ,         1535.7 
 6.42 ,        1532.8 
 6.44 ,        1535.7 
 6.46 ,        1538.6 
 6.48 ,        1538.6 
 6.5 ,         1535.7 
 6.52 ,        1535.7 
 6.54 ,        1535.7 
 6.56 ,        1532.8 
 6.58 ,        1541.6 
 6.6 ,         1535.7 
 6.62 ,        1535.7 
 6.64 ,        1535.7 
 6.66 ,        1538.6 
 6.68 ,        1535.7 
 6.7 ,         1535.7 
 6.72 ,        1535.7 
 6.74 ,        1532.8 
 6.76 ,        1538.6 
 6.78 ,        1535.7 
 6.8 ,         1535.7 
 6.82 ,        1535.7 
 6.84 ,        1535.7 
 6.86 ,        1538.6 
 6.88 ,        1538.6 
 6.9 ,         1529.8 
 6.92 ,        1535.7 
 6.94 ,        1535.7 
 6.96 ,        1532.8 
 6.98 ,        1535.7 
 7 ,           1532.8 
 7.02 ,        1532.8 
 7.04 ,        1529.8 
 7.06 ,        1529.8 
 7.08 ,        1526.9 
 7.1 ,         1529.8 
 7.12 ,        1529.8 
 7.14 ,        1532.8 
 7.16 ,        1532.8 
 7.18 ,        1532.8 
 7.2 ,         1529.8 
